ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-14,2026-09-14T17:45:22,34,19,50,20,34,19,6.0,0,,,,,0
madrid,28079,2026-09-15,2026-09-14T17:45:22,35,20,40,15,35,20,6.0,5,SE,,11,Despejado,0
madrid,28079,2026-09-16,2026-09-14T17:45:22,29,17,65,25,29,17,6.0,15,NE,,11,Despejado,0
madrid,28079,2026-09-17,2026-09-14T17:45:22,28,14,60,25,28,14,6.0,0,C,,17,Nubes altas,5
madrid,28079,2026-09-18,2026-09-14T17:45:22,28,15,55,25,28,15,7.0,10,NE,,12,Poco nuboso,0
madrid,28079,2026-09-19,2026-09-14T17:45:22,30,16,55,25,30,16,,0,C,,12,Poco nuboso,5
madrid,28079,2026-09-20,2026-09-14T17:45:22,31,18,60,25,31,18,,0,C,,11,Despejado,0
barcelona,08019,2026-09-14,2026-09-14T17:45:22,32,21,75,30,32,20,6.0,0,,,,,0
barcelona,08019,2026-09-15,2026-09-14T17:45:22,32,21,65,35,32,21,6.0,10,E,,11,Despejado,0
barcelona,08019,2026-09-16,2026-09-14T17:45:22,29,20,95,40,29,20,6.0,15,S,,23,Intervalos nubosos con lluvia,100
barcelona,08019,2026-09-17,2026-09-14T17:45:22,26,19,85,55,26,19,6.0,20,S,,23,Intervalos nubosos con lluvia,95
barcelona,08019,2026-09-18,2026-09-14T17:45:22,27,19,80,60,27,19,6.0,10,NE,,43,Intervalos nubosos con lluvia escasa,80
barcelona,08019,2026-09-19,2026-09-14T17:45:22,28,19,80,55,28,19,,10,S,,43,Intervalos nubosos con lluvia escasa,70
barcelona,08019,2026-09-20,2026-09-14T17:45:22,29,18,85,45,29,18,,10,SE,,11,Despejado,0
valencia,46250,2026-09-14,2026-09-14T17:45:22,30,18,80,30,31,18,6.0,0,,,,,0
valencia,46250,2026-09-15,2026-09-14T17:45:22,32,19,80,25,32,19,6.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-16,2026-09-14T17:45:22,29,20,85,50,29,20,6.0,15,NE,,13,Intervalos nubosos,25
valencia,46250,2026-09-17,2026-09-14T17:45:22,26,21,80,50,26,21,6.0,10,E,,45,Muy nuboso con lluvia escasa,75
valencia,46250,2026-09-18,2026-09-14T17:45:22,27,20,90,55,27,20,6.0,10,E,,44,Nuboso con lluvia escasa,70
valencia,46250,2026-09-19,2026-09-14T17:45:22,27,18,90,55,27,18,,10,E,,13,Intervalos nubosos,25
valencia,46250,2026-09-20,2026-09-14T17:45:22,29,18,90,55,29,18,,10,SE,,13,Intervalos nubosos,10
sevilla,41091,2026-09-14,2026-09-14T17:45:22,38,20,75,20,39,21,6.0,0,,,,,0
sevilla,41091,2026-09-15,2026-09-14T17:45:22,39,20,65,15,39,20,6.0,15,SO,,11,Despejado,0
sevilla,41091,2026-09-16,2026-09-14T17:45:22,35,19,90,30,35,19,6.0,10,SO,,11,Despejado,0
sevilla,41091,2026-09-17,2026-09-14T17:45:22,33,18,100,25,33,18,6.0,0,C,,17,Nubes altas,0
sevilla,41091,2026-09-18,2026-09-14T17:45:22,34,17,85,25,34,17,6.0,0,C,,12,Poco nuboso,5
sevilla,41091,2026-09-19,2026-09-14T17:45:22,35,18,90,30,35,18,,5,E,,12,Poco nuboso,0
sevilla,41091,2026-09-20,2026-09-14T17:45:22,37,21,85,30,37,21,,5,E,,11,Despejado,0
bilbao,48020,2026-09-14,2026-09-14T17:45:22,33,14,80,30,33,14,6.0,0,,,,,0
bilbao,48020,2026-09-15,2026-09-14T17:45:22,29,16,85,50,29,16,6.0,25,NO,50,43,Intervalos nubosos con lluvia escasa,100
bilbao,48020,2026-09-16,2026-09-14T17:45:22,23,15,95,55,23,15,5.0,15,NO,,24,Nuboso con lluvia,100
bilbao,48020,2026-09-17,2026-09-14T17:45:22,22,14,90,60,22,14,6.0,10,N,,25,Muy nuboso con lluvia,100
bilbao,48020,2026-09-18,2026-09-14T17:45:22,23,13,90,60,23,13,6.0,15,NO,,24,Nuboso con lluvia,75
bilbao,48020,2026-09-19,2026-09-14T17:45:22,26,10,95,50,26,10,,5,E,,13,Intervalos nubosos,10
bilbao,48020,2026-09-20,2026-09-14T17:45:22,28,11,100,50,28,11,,10,NE,,13,Intervalos nubosos,10
zaragoza,50297,2026-09-14,2026-09-14T17:45:22,35,17,70,20,35,18,6.0,0,,,,,0
zaragoza,50297,2026-09-15,2026-09-14T17:45:22,37,19,70,15,37,19,6.0,0,C,,11,Despejado,0
