ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-22,2026-08-22T21:05:11,33,19,30,20,33,19,8.0,0,,,,,0
madrid,28079,2026-08-23,2026-08-22T21:05:11,33,20,80,15,33,20,8.0,15,S,,11,Despejado,0
madrid,28079,2026-08-24,2026-08-22T21:05:11,28,19,70,30,27,19,6.0,15,SO,,46,Cubierto con lluvia escasa,80
madrid,28079,2026-08-25,2026-08-22T21:05:11,27,17,90,35,27,17,8.0,10,SO,,15,Muy nuboso,10
madrid,28079,2026-08-26,2026-08-22T21:05:11,28,18,70,30,28,18,7.0,10,SO,,15,Muy nuboso,5
madrid,28079,2026-08-27,2026-08-22T21:05:11,23,15,90,35,23,15,,20,SO,,43,Intervalos nubosos con lluvia escasa,70
madrid,28079,2026-08-28,2026-08-22T21:05:11,27,12,65,20,27,12,,0,C,,11,Despejado,0
barcelona,08019,2026-08-22,2026-08-22T21:05:11,29,24,70,60,29,24,7.0,0,,,,,0
barcelona,08019,2026-08-23,2026-08-22T21:05:11,30,23,80,55,33,24,7.0,15,S,,13,Intervalos nubosos,20
barcelona,08019,2026-08-24,2026-08-22T21:05:11,31,25,90,55,31,24,7.0,15,SE,,23,Intervalos nubosos con lluvia,100
barcelona,08019,2026-08-25,2026-08-22T21:05:11,34,23,75,40,34,23,7.0,15,SO,,13,Intervalos nubosos,10
barcelona,08019,2026-08-26,2026-08-22T21:05:11,31,25,85,65,31,25,7.0,15,SE,,13,Intervalos nubosos,50
barcelona,08019,2026-08-27,2026-08-22T21:05:11,32,25,85,30,32,25,,15,S,,13,Intervalos nubosos,20
barcelona,08019,2026-08-28,2026-08-22T21:05:11,31,25,55,20,31,25,,15,S,,13,Intervalos nubosos,10
valencia,46250,2026-08-22,2026-08-22T21:05:11,30,23,90,75,29,22,7.0,0,,,,,0
valencia,46250,2026-08-23,2026-08-22T21:05:11,30,23,90,65,34,22,7.0,15,E,,43,Intervalos nubosos con lluvia escasa,85
valencia,46250,2026-08-24,2026-08-22T21:05:11,31,23,100,65,30,22,7.0,10,E,,24,Nuboso con lluvia,95
valencia,46250,2026-08-25,2026-08-22T21:05:11,35,22,75,25,35,22,7.0,10,SO,,11,Despejado,0
valencia,46250,2026-08-26,2026-08-22T21:05:11,31,21,80,55,31,21,7.0,10,E,,13,Intervalos nubosos,30
valencia,46250,2026-08-27,2026-08-22T21:05:11,36,21,80,20,36,21,,15,O,,12,Poco nuboso,0
valencia,46250,2026-08-28,2026-08-22T21:05:11,32,21,55,15,32,21,,10,E,,12,Poco nuboso,0
sevilla,41091,2026-08-22,2026-08-22T21:05:11,32,18,90,45,32,18,7.0,0,,,,,0
sevilla,41091,2026-08-23,2026-08-22T21:05:11,30,16,95,40,30,16,8.0,15,SO,,11,Despejado,0
sevilla,41091,2026-08-24,2026-08-22T21:05:11,29,18,100,50,28,18,7.0,20,SO,40,23,Intervalos nubosos con lluvia,100
sevilla,41091,2026-08-25,2026-08-22T21:05:11,30,17,100,30,30,17,7.0,5,O,,13,Intervalos nubosos,20
sevilla,41091,2026-08-26,2026-08-22T21:05:11,28,17,100,40,28,17,7.0,15,SO,,12,Poco nuboso,0
sevilla,41091,2026-08-27,2026-08-22T21:05:11,30,17,100,40,30,17,,15,O,,13,Intervalos nubosos,35
sevilla,41091,2026-08-28,2026-08-22T21:05:11,33,16,65,15,33,16,,10,N,,11,Despejado,0
bilbao,48020,2026-08-22,2026-08-22T21:05:11,26,13,90,60,26,13,7.0,0,,,,,0
bilbao,48020,2026-08-23,2026-08-22T21:05:11,32,17,90,35,32,17,7.0,15,S,,13,Intervalos nubosos,35
bilbao,48020,2026-08-24,2026-08-22T21:05:11,34,20,85,25,34,20,6.0,25,SO,50,43,Intervalos nubosos con lluvia escasa,95
