ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-20,2026-08-20T08:59:10,30,22,55,35,31,22,8.0,0,,,,,0
madrid,28079,2026-08-21,2026-08-20T08:59:10,30,19,75,30,31,19,8.0,5,O,,12,Poco nuboso,0
madrid,28079,2026-08-22,2026-08-20T08:59:10,33,19,65,20,33,19,8.0,10,S,,13,Intervalos nubosos,15
madrid,28079,2026-08-23,2026-08-20T08:59:10,33,20,75,25,33,20,7.0,10,S,,13,Intervalos nubosos,45
madrid,28079,2026-08-24,2026-08-20T08:59:10,27,20,70,35,27,20,7.0,20,SO,,43,Intervalos nubosos con lluvia escasa,70
madrid,28079,2026-08-25,2026-08-20T08:59:10,28,17,100,30,28,17,,10,SO,,12,Poco nuboso,5
madrid,28079,2026-08-26,2026-08-20T08:59:10,31,18,60,15,31,18,,10,SO,,13,Intervalos nubosos,35
barcelona,08019,2026-08-20,2026-08-20T08:59:10,32,23,80,35,33,23,7.0,0,,,,,0
barcelona,08019,2026-08-21,2026-08-20T08:59:10,29,23,80,55,31,24,7.0,15,SE,,24,Nuboso con lluvia,100
barcelona,08019,2026-08-22,2026-08-20T08:59:10,29,24,70,50,29,24,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,85
barcelona,08019,2026-08-23,2026-08-20T08:59:10,31,23,80,55,31,23,7.0,15,SE,,43,Intervalos nubosos con lluvia escasa,55
barcelona,08019,2026-08-24,2026-08-20T08:59:10,31,24,80,60,31,24,7.0,15,SE,,23,Intervalos nubosos con lluvia,80
barcelona,08019,2026-08-25,2026-08-20T08:59:10,34,25,85,45,34,25,,15,SO,,13,Intervalos nubosos,25
barcelona,08019,2026-08-26,2026-08-20T08:59:10,31,25,90,55,31,25,,10,SE,,13,Intervalos nubosos,10
valencia,46250,2026-08-20,2026-08-20T08:59:10,38,28,50,25,37,27,7.0,0,,,,,0
valencia,46250,2026-08-21,2026-08-20T08:59:10,32,25,75,45,32,25,7.0,15,E,,13,Intervalos nubosos,25
valencia,46250,2026-08-22,2026-08-20T08:59:10,30,24,85,50,30,24,7.0,15,E,,23,Intervalos nubosos con lluvia,100
valencia,46250,2026-08-23,2026-08-20T08:59:10,30,23,90,65,30,23,7.0,15,E,,43,Intervalos nubosos con lluvia escasa,70
valencia,46250,2026-08-24,2026-08-20T08:59:10,30,23,90,50,30,23,7.0,10,SE,,13,Intervalos nubosos,35
valencia,46250,2026-08-25,2026-08-20T08:59:10,36,23,75,25,36,23,,10,SO,,12,Poco nuboso,5
valencia,46250,2026-08-26,2026-08-20T08:59:10,31,22,75,55,31,22,,15,E,,13,Intervalos nubosos,10
sevilla,41091,2026-08-20,2026-08-20T08:59:10,30,23,100,55,30,20,7.0,0,,,,,0
sevilla,41091,2026-08-21,2026-08-20T08:59:10,32,19,95,35,33,19,7.0,10,SO,,12,Poco nuboso,0
sevilla,41091,2026-08-22,2026-08-20T08:59:10,32,18,95,35,32,18,7.0,10,S,,11,Despejado,0
sevilla,41091,2026-08-23,2026-08-20T08:59:10,30,16,100,40,30,16,7.0,10,SO,,13,Intervalos nubosos,45
sevilla,41091,2026-08-24,2026-08-20T08:59:10,28,18,100,50,28,18,7.0,25,SO,50,44,Nuboso con lluvia escasa,55
sevilla,41091,2026-08-25,2026-08-20T08:59:10,30,17,100,40,30,17,,0,C,,13,Intervalos nubosos,10
sevilla,41091,2026-08-26,2026-08-20T08:59:10,30,17,100,40,30,17,,10,SO,,13,Intervalos nubosos,10
bilbao,48020,2026-08-20,2026-08-20T08:59:10,24,18,90,80,24,18,7.0,0,,,,,0
bilbao,48020,2026-08-21,2026-08-20T08:59:10,24,16,90,65,24,16,7.0,10,O,,26,Cubierto con lluvia,100
bilbao,48020,2026-08-22,2026-08-20T08:59:10,27,13,90,55,27,13,7.0,10,E,,13,Intervalos nubosos,20
bilbao,48020,2026-08-23,2026-08-20T08:59:10,35,17,85,45,35,17,7.0,5,S,,23,Intervalos nubosos con lluvia,65
bilbao,48020,2026-08-24,2026-08-20T08:59:10,35,21,90,25,35,21,6.0,15,S,,23,Intervalos nubosos con lluvia,95
bilbao,48020,2026-08-25,2026-08-20T08:59:10,30,19,85,45,30,19,,0,C,,14,Nuboso,45
bilbao,48020,2026-08-26,2026-08-20T08:59:10,34,18,85,40,34,18,,0,C,,23,Intervalos nubosos con lluvia,75
zaragoza,50297,2026-08-20,2026-08-20T08:59:10,35,21,80,35,36,20,7.0,0,,,,,0
zaragoza,50297,2026-08-21,2026-08-20T08:59:10,30,20,85,30,31,19,7.0,25,NO,40,14,Nuboso,0
zaragoza,50297,2026-08-22,2026-08-20T08:59:10,31,17,80,35,31,17,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,75
zaragoza,50297,2026-08-23,2026-08-20T08:59:10,34,21,85,35,34,21,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,80
zaragoza,50297,2026-08-24,2026-08-20T08:59:10,31,21,80,45,31,21,6.0,5,S,,43,Intervalos nubosos con lluvia escasa,75
zaragoza,50297,2026-08-25,2026-08-20T08:59:10,33,20,85,25,33,20,,0,C,,12,Poco nuboso,5
zaragoza,50297,2026-08-26,2026-08-20T08:59:10,36,20,75,30,36,20,,20,SE,,13,Intervalos nubosos,25
a_coruna,15030,2026-08-20,2026-08-20T08:59:10,22,18,95,65,22,18,6.0,0,,,,,0
a_coruna,15030,2026-08-21,2026-08-20T08:59:10,22,16,95,50,22,16,7.0,15,NO,,43,Intervalos nubosos con lluvia escasa,75
a_coruna,15030,2026-08-22,2026-08-20T08:59:10,27,17,80,40,27,17,6.0,10,E,,13,Intervalos nubosos,25
a_coruna,15030,2026-08-23,2026-08-20T08:59:10,22,17,90,65,22,17,6.0,5,NO,,24,Nuboso con lluvia,80
a_coruna,15030,2026-08-24,2026-08-20T08:59:10,22,17,100,75,22,17,6.0,15,N,,26,Cubierto con lluvia,85
a_coruna,15030,2026-08-25,2026-08-20T08:59:10,25,19,90,70,25,19,,20,SO,,23,Intervalos nubosos con lluvia,95
a_coruna,15030,2026-08-26,2026-08-20T08:59:10,22,16,100,70,22,16,,10,NO,,24,Nuboso con lluvia,100
mataro,08121,2026-08-20,2026-08-20T08:59:10,32,24,85,55,33,21,7.0,0,,,,,0
mataro,08121,2026-08-21,2026-08-20T08:59:10,29,22,95,60,30,22,7.0,10,SE,,24,Nuboso con lluvia,100
mataro,08121,2026-08-22,2026-08-20T08:59:10,28,22,85,55,28,22,7.0,15,SE,,43,Intervalos nubosos con lluvia escasa,85
mataro,08121,2026-08-23,2026-08-20T08:59:10,30,21,85,55,30,21,7.0,15,SE,,43,Intervalos nubosos con lluvia escasa,55
mataro,08121,2026-08-24,2026-08-20T08:59:10,30,22,90,60,30,22,7.0,10,SE,,23,Intervalos nubosos con lluvia,85
mataro,08121,2026-08-25,2026-08-20T08:59:10,33,23,95,60,33,23,,20,SO,45,13,Intervalos nubosos,35
mataro,08121,2026-08-26,2026-08-20T08:59:10,31,22,95,60,31,22,,10,SE,,13,Intervalos nubosos,15
