ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-12,2026-09-13T05:57:13,31,17,30,20,31,17,,0,,,,,0
madrid,28079,2026-09-13,2026-09-13T05:57:13,32,19,65,25,32,18,6.0,10,S,,11,Despejado,0
madrid,28079,2026-09-14,2026-09-13T05:57:13,34,20,60,20,34,19,6.0,0,C,,11,Despejado,0
madrid,28079,2026-09-15,2026-09-13T05:57:13,35,19,40,10,35,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-16,2026-09-13T05:57:13,30,17,60,25,30,17,6.0,15,NE,,13,Intervalos nubosos,15
madrid,28079,2026-09-17,2026-09-13T05:57:13,29,15,55,30,29,15,7.0,0,C,,12,Poco nuboso,5
madrid,28079,2026-09-18,2026-09-13T05:57:13,28,16,50,15,28,16,,5,NE,,17,Nubes altas,5
barcelona,08019,2026-09-12,2026-09-13T05:57:13,29,20,65,55,29,20,,0,,,,,0
barcelona,08019,2026-09-13,2026-09-13T05:57:13,30,20,80,30,30,20,6.0,10,SE,,11,Despejado,0
barcelona,08019,2026-09-14,2026-09-13T05:57:13,32,20,80,35,32,20,6.0,5,O,,12,Poco nuboso,0
barcelona,08019,2026-09-15,2026-09-13T05:57:13,31,21,80,45,31,21,6.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-16,2026-09-13T05:57:13,28,20,80,60,28,20,6.0,20,S,45,24,Nuboso con lluvia,75
barcelona,08019,2026-09-17,2026-09-13T05:57:13,27,20,85,45,27,20,6.0,15,S,,43,Intervalos nubosos con lluvia escasa,90
barcelona,08019,2026-09-18,2026-09-13T05:57:13,26,20,80,60,26,20,,10,SE,,45,Muy nuboso con lluvia escasa,65
valencia,46250,2026-09-12,2026-09-13T05:57:13,28,20,75,60,28,20,,0,,,,,0
valencia,46250,2026-09-13,2026-09-13T05:57:13,29,18,85,45,29,18,6.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-14,2026-09-13T05:57:13,30,18,90,40,31,18,6.0,15,SE,,12,Poco nuboso,0
valencia,46250,2026-09-15,2026-09-13T05:57:13,32,19,70,35,32,19,6.0,15,SE,,11,Despejado,0
valencia,46250,2026-09-16,2026-09-13T05:57:13,28,21,85,55,28,21,6.0,15,NE,,13,Intervalos nubosos,25
valencia,46250,2026-09-17,2026-09-13T05:57:13,26,21,85,60,26,21,6.0,15,E,,45,Muy nuboso con lluvia escasa,55
valencia,46250,2026-09-18,2026-09-13T05:57:13,26,20,85,55,26,20,,10,E,,15,Muy nuboso,40
sevilla,41091,2026-09-12,2026-09-13T05:57:13,38,20,45,15,38,20,,0,,,,,0
sevilla,41091,2026-09-13,2026-09-13T05:57:13,37,21,80,15,38,21,6.0,20,E,,11,Despejado,0
sevilla,41091,2026-09-14,2026-09-13T05:57:13,37,20,75,15,38,20,6.0,10,E,,11,Despejado,0
sevilla,41091,2026-09-15,2026-09-13T05:57:13,38,20,75,20,38,20,6.0,5,SO,,11,Despejado,0
sevilla,41091,2026-09-16,2026-09-13T05:57:13,34,18,95,30,34,18,6.0,15,SO,,12,Poco nuboso,0
sevilla,41091,2026-09-17,2026-09-13T05:57:13,32,18,100,30,32,18,6.0,5,SO,,12,Poco nuboso,0
sevilla,41091,2026-09-18,2026-09-13T05:57:13,34,18,75,25,34,18,,0,C,,17,Nubes altas,0
bilbao,48020,2026-09-12,2026-09-13T05:57:13,27,13,95,70,27,13,,0,,,,,0
bilbao,48020,2026-09-13,2026-09-13T05:57:13,29,11,95,40,29,11,6.0,0,C,,11,Despejado,0
bilbao,48020,2026-09-14,2026-09-13T05:57:13,33,14,80,25,33,14,6.0,10,E,,11,Despejado,0
bilbao,48020,2026-09-15,2026-09-13T05:57:13,30,16,95,55,30,16,6.0,15,NO,,43,Intervalos nubosos con lluvia escasa,90
bilbao,48020,2026-09-16,2026-09-13T05:57:13,22,15,95,55,22,15,5.0,15,N,,24,Nuboso con lluvia,100
bilbao,48020,2026-09-17,2026-09-13T05:57:13,22,13,95,60,22,13,5.0,10,NO,,45,Muy nuboso con lluvia escasa,90
bilbao,48020,2026-09-18,2026-09-13T05:57:13,24,12,95,55,24,12,,5,NO,,45,Muy nuboso con lluvia escasa,70
zaragoza,50297,2026-09-12,2026-09-13T05:57:13,31,15,55,30,31,15,,0,,,,,0
zaragoza,50297,2026-09-13,2026-09-13T05:57:13,33,16,90,25,33,16,6.0,5,SE,,11,Despejado,0
zaragoza,50297,2026-09-14,2026-09-13T05:57:13,35,17,90,20,36,17,6.0,0,C,,11,Despejado,0
zaragoza,50297,2026-09-15,2026-09-13T05:57:13,37,20,70,15,37,20,6.0,0,C,,11,Despejado,0
zaragoza,50297,2026-09-16,2026-09-13T05:57:13,27,16,80,30,27,16,6.0,30,NO,65,13,Intervalos nubosos,20
zaragoza,50297,2026-09-17,2026-09-13T05:57:13,27,15,75,30,27,15,6.0,15,NO,,12,Poco nuboso,5
zaragoza,50297,2026-09-18,2026-09-13T05:57:13,29,15,80,30,29,15,,15,NO,,12,Poco nuboso,5
a_coruna,15030,2026-09-12,2026-09-13T05:57:13,26,16,80,50,26,16,,0,,,,,0
a_coruna,15030,2026-09-13,2026-09-13T05:57:13,28,15,85,40,30,15,6.0,5,NO,,11,Despejado,0
a_coruna,15030,2026-09-14,2026-09-13T05:57:13,27,17,85,40,27,17,6.0,10,NO,,11,Despejado,0
a_coruna,15030,2026-09-15,2026-09-13T05:57:13,22,18,100,65,22,18,6.0,15,N,,44,Nuboso con lluvia escasa,100
a_coruna,15030,2026-09-16,2026-09-13T05:57:13,21,16,90,55,21,16,5.0,20,N,40,15,Muy nuboso,40
a_coruna,15030,2026-09-17,2026-09-13T05:57:13,21,16,80,55,21,16,5.0,15,N,,13,Intervalos nubosos,35
a_coruna,15030,2026-09-18,2026-09-13T05:57:13,22,16,90,60,22,16,,15,N,,13,Intervalos nubosos,25
mataro,08121,2026-09-12,2026-09-13T05:57:13,28,19,80,55,28,19,,0,,,,,0
mataro,08121,2026-09-13,2026-09-13T05:57:13,29,19,80,40,29,19,6.0,10,S,,11,Despejado,0
mataro,08121,2026-09-14,2026-09-13T05:57:13,31,19,75,40,31,19,6.0,10,S,,12,Poco nuboso,0
mataro,08121,2026-09-15,2026-09-13T05:57:13,30,20,85,40,30,20,6.0,15,S,,12,Poco nuboso,0
mataro,08121,2026-09-16,2026-09-13T05:57:13,27,19,85,60,27,19,6.0,15,S,,24,Nuboso con lluvia,95
mataro,08121,2026-09-17,2026-09-13T05:57:13,27,19,80,50,27,19,6.0,15,SO,,23,Intervalos nubosos con lluvia,95
mataro,08121,2026-09-18,2026-09-13T05:57:13,26,19,85,50,26,19,,5,S,,45,Muy nuboso con lluvia escasa,75
