ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-23,2026-08-23T08:55:11,33,20,80,15,33,20,8.0,0,,,,,0
madrid,28079,2026-08-24,2026-08-23T08:55:11,28,19,75,30,27,19,7.0,15,S,,45,Muy nuboso con lluvia escasa,100
madrid,28079,2026-08-25,2026-08-23T08:55:11,27,17,90,35,27,17,8.0,10,SO,,14,Nuboso,15
madrid,28079,2026-08-26,2026-08-23T08:55:11,28,18,70,30,28,18,7.0,15,SO,,13,Intervalos nubosos,10
madrid,28079,2026-08-27,2026-08-23T08:55:11,23,15,70,40,23,15,7.0,20,SO,,43,Intervalos nubosos con lluvia escasa,60
madrid,28079,2026-08-28,2026-08-23T08:55:11,27,12,75,25,27,12,,10,SO,,11,Despejado,0
madrid,28079,2026-08-29,2026-08-23T08:55:11,30,14,60,15,30,14,,0,C,,11,Despejado,0
barcelona,08019,2026-08-23,2026-08-23T08:55:11,30,23,75,60,31,23,7.0,0,,,,,0
barcelona,08019,2026-08-24,2026-08-23T08:55:11,31,25,100,60,35,23,7.0,15,SE,,24,Nuboso con lluvia,100
barcelona,08019,2026-08-25,2026-08-23T08:55:11,34,23,70,40,34,23,7.0,15,SO,,12,Poco nuboso,0
barcelona,08019,2026-08-26,2026-08-23T08:55:11,30,25,80,55,30,25,7.0,0,C,,44,Nuboso con lluvia escasa,65
barcelona,08019,2026-08-27,2026-08-23T08:55:11,32,24,85,30,32,24,7.0,15,S,,13,Intervalos nubosos,25
barcelona,08019,2026-08-28,2026-08-23T08:55:11,33,25,60,25,33,25,,15,SO,,13,Intervalos nubosos,15
barcelona,08019,2026-08-29,2026-08-23T08:55:11,31,24,75,45,31,24,,15,S,,13,Intervalos nubosos,10
valencia,46250,2026-08-23,2026-08-23T08:55:11,30,23,90,70,30,22,7.0,0,,,,,0
valencia,46250,2026-08-24,2026-08-23T08:55:11,31,23,95,35,34,23,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,90
valencia,46250,2026-08-25,2026-08-23T08:55:11,35,22,75,25,35,22,7.0,10,SO,,12,Poco nuboso,0
valencia,46250,2026-08-26,2026-08-23T08:55:11,31,22,75,50,31,22,7.0,0,C,,13,Intervalos nubosos,45
valencia,46250,2026-08-27,2026-08-23T08:55:11,35,21,75,25,35,21,7.0,20,O,,13,Intervalos nubosos,10
valencia,46250,2026-08-28,2026-08-23T08:55:11,35,21,50,15,35,21,,5,SO,,11,Despejado,0
valencia,46250,2026-08-29,2026-08-23T08:55:11,31,20,80,40,31,20,,15,E,,11,Despejado,0
sevilla,41091,2026-08-23,2026-08-23T08:55:11,30,16,95,45,30,17,7.0,0,,,,,0
sevilla,41091,2026-08-24,2026-08-23T08:55:11,29,18,100,55,29,18,7.0,25,SO,40,25,Muy nuboso con lluvia,100
