ciudad,municipio,fecha_prevista,elaborado,tmax,tmin
madrid,28079,2026-08-12,2026-08-12T07:15:12,38,25
madrid,28079,2026-08-13,2026-08-12T07:15:12,39,24
madrid,28079,2026-08-14,2026-08-12T07:15:12,38,24
madrid,28079,2026-08-15,2026-08-12T07:15:12,36,23
madrid,28079,2026-08-16,2026-08-12T07:15:12,35,22
madrid,28079,2026-08-17,2026-08-12T07:15:12,35,21
madrid,28079,2026-08-18,2026-08-12T07:15:12,38,23
barcelona,08019,2026-08-12,2026-08-12T07:15:12,32,25
barcelona,08019,2026-08-13,2026-08-12T07:15:12,33,25
barcelona,08019,2026-08-14,2026-08-12T07:15:12,35,26
barcelona,08019,2026-08-15,2026-08-12T07:15:12,33,26
barcelona,08019,2026-08-16,2026-08-12T07:15:12,30,25
barcelona,08019,2026-08-17,2026-08-12T07:15:12,30,22
barcelona,08019,2026-08-18,2026-08-12T07:15:12,30,24
valencia,46250,2026-08-12,2026-08-12T07:15:12,33,25
valencia,46250,2026-08-13,2026-08-12T07:15:12,33,24
valencia,46250,2026-08-14,2026-08-12T07:15:12,33,25
valencia,46250,2026-08-15,2026-08-12T07:15:12,33,25
valencia,46250,2026-08-16,2026-08-12T07:15:12,32,25
valencia,46250,2026-08-17,2026-08-12T07:15:12,30,20
valencia,46250,2026-08-18,2026-08-12T07:15:12,30,23
sevilla,41091,2026-08-12,2026-08-12T07:15:12,40,20
sevilla,41091,2026-08-13,2026-08-12T07:15:12,40,23
sevilla,41091,2026-08-14,2026-08-12T07:15:12,39,24
sevilla,41091,2026-08-15,2026-08-12T07:15:12,36,22
sevilla,41091,2026-08-16,2026-08-12T07:15:12,36,21
sevilla,41091,2026-08-17,2026-08-12T07:15:12,38,22
sevilla,41091,2026-08-18,2026-08-12T07:15:12,41,22
bilbao,48020,2026-08-12,2026-08-12T07:15:12,34,20
bilbao,48020,2026-08-13,2026-08-12T07:15:12,32,19
bilbao,48020,2026-08-14,2026-08-12T07:15:12,31,19
bilbao,48020,2026-08-15,2026-08-12T07:15:12,29,21
bilbao,48020,2026-08-16,2026-08-12T07:15:12,26,19
bilbao,48020,2026-08-17,2026-08-12T07:15:12,27,19
bilbao,48020,2026-08-18,2026-08-12T07:15:12,28,18
zaragoza,50297,2026-08-12,2026-08-12T07:15:12,40,24
zaragoza,50297,2026-08-13,2026-08-12T07:15:12,41,24
zaragoza,50297,2026-08-14,2026-08-12T07:15:12,39,25
zaragoza,50297,2026-08-15,2026-08-12T07:15:12,35,23
zaragoza,50297,2026-08-16,2026-08-12T07:15:12,34,21
zaragoza,50297,2026-08-17,2026-08-12T07:15:12,34,19
zaragoza,50297,2026-08-18,2026-08-12T07:15:12,33,18
