ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-23,2026-08-23T21:05:12,33,20,30,20,33,20,8.0,0,,,,,0
madrid,28079,2026-08-24,2026-08-23T21:05:12,27,21,75,25,27,20,7.0,25,SO,50,45,Muy nuboso con lluvia escasa,95
madrid,28079,2026-08-25,2026-08-23T21:05:12,27,19,85,35,27,18,8.0,15,SO,,17,Nubes altas,0
madrid,28079,2026-08-26,2026-08-23T21:05:12,28,18,75,25,28,18,7.0,15,SO,,13,Intervalos nubosos,20
madrid,28079,2026-08-27,2026-08-23T21:05:12,25,16,85,40,25,16,7.0,20,SO,65,43,Intervalos nubosos con lluvia escasa,70
madrid,28079,2026-08-28,2026-08-23T21:05:12,26,12,80,30,26,12,,10,SO,,12,Poco nuboso,5
madrid,28079,2026-08-29,2026-08-23T21:05:12,30,15,75,20,30,15,,5,SO,,11,Despejado,0
barcelona,08019,2026-08-23,2026-08-23T21:05:12,30,23,75,60,31,23,7.0,0,,,,,0
barcelona,08019,2026-08-24,2026-08-23T21:05:12,31,23,85,55,34,25,7.0,15,S,,24,Nuboso con lluvia,100
barcelona,08019,2026-08-25,2026-08-23T21:05:12,34,23,70,30,34,24,7.0,10,O,,12,Poco nuboso,0
barcelona,08019,2026-08-26,2026-08-23T21:05:12,31,25,90,60,31,25,7.0,5,E,,44,Nuboso con lluvia escasa,65
barcelona,08019,2026-08-27,2026-08-23T21:05:12,32,23,90,55,32,23,7.0,15,S,,13,Intervalos nubosos,35
barcelona,08019,2026-08-28,2026-08-23T21:05:12,31,24,75,35,31,24,,10,SE,,15,Muy nuboso,5
barcelona,08019,2026-08-29,2026-08-23T21:05:12,30,23,70,45,30,23,,15,SE,,13,Intervalos nubosos,20
valencia,46250,2026-08-23,2026-08-23T21:05:12,30,23,90,75,30,22,7.0,0,,,,,0
valencia,46250,2026-08-24,2026-08-23T21:05:12,31,23,95,25,35,23,7.0,15,SE,,43,Intervalos nubosos con lluvia escasa,95
valencia,46250,2026-08-25,2026-08-23T21:05:12,35,22,75,20,35,22,7.0,15,O,,11,Despejado,0
valencia,46250,2026-08-26,2026-08-23T21:05:12,31,23,85,55,31,23,7.0,5,E,,43,Intervalos nubosos con lluvia escasa,65
valencia,46250,2026-08-27,2026-08-23T21:05:12,34,21,90,30,34,21,7.0,10,S,,13,Intervalos nubosos,10
