ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-15,2026-08-15T15:35:12,32,20,65,25,32,22,8.0,0,,,,,0
madrid,28079,2026-08-16,2026-08-15T15:35:12,34,19,75,20,34,19,7.0,5,NE,,12,Poco nuboso,0
madrid,28079,2026-08-17,2026-08-15T15:35:12,36,22,65,15,36,22,8.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-08-18,2026-08-15T15:35:12,37,23,50,15,37,23,8.0,5,S,,12,Poco nuboso,0
madrid,28079,2026-08-19,2026-08-15T15:35:12,34,24,45,20,34,24,8.0,15,SO,,13,Intervalos nubosos,15
madrid,28079,2026-08-20,2026-08-15T15:35:12,31,21,75,30,31,21,,10,O,,13,Intervalos nubosos,50
madrid,28079,2026-08-21,2026-08-15T15:35:12,31,19,75,15,31,19,,10,SO,,13,Intervalos nubosos,45
barcelona,08019,2026-08-15,2026-08-15T15:35:12,33,26,75,40,33,27,8.0,0,,,,,0
barcelona,08019,2026-08-16,2026-08-15T15:35:12,33,26,75,40,35,26,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,100
barcelona,08019,2026-08-17,2026-08-15T15:35:12,33,26,80,55,33,27,7.0,15,S,,43,Intervalos nubosos con lluvia escasa,85
barcelona,08019,2026-08-18,2026-08-15T15:35:12,33,25,90,45,33,25,8.0,15,S,,43,Intervalos nubosos con lluvia escasa,60
barcelona,08019,2026-08-19,2026-08-15T15:35:12,34,26,85,60,34,26,8.0,15,S,,13,Intervalos nubosos,35
barcelona,08019,2026-08-20,2026-08-15T15:35:12,31,24,85,55,31,24,,10,E,,43,Intervalos nubosos con lluvia escasa,65
barcelona,08019,2026-08-21,2026-08-15T15:35:12,30,24,80,60,30,24,,10,SE,,23,Intervalos nubosos con lluvia,80
valencia,46250,2026-08-15,2026-08-15T15:35:12,33,25,65,60,33,25,8.0,0,,,,,0
valencia,46250,2026-08-16,2026-08-15T15:35:12,33,23,80,45,36,24,8.0,15,SE,,12,Poco nuboso,5
valencia,46250,2026-08-17,2026-08-15T15:35:12,34,24,85,40,34,24,8.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-08-18,2026-08-15T15:35:12,34,24,70,45,34,24,8.0,10,E,,11,Despejado,0
valencia,46250,2026-08-19,2026-08-15T15:35:12,38,24,65,30,38,24,8.0,15,SE,,13,Intervalos nubosos,10
valencia,46250,2026-08-20,2026-08-15T15:35:12,33,25,80,40,33,25,,10,E,,43,Intervalos nubosos con lluvia escasa,65
valencia,46250,2026-08-21,2026-08-15T15:35:12,30,23,85,50,30,23,,15,E,,23,Intervalos nubosos con lluvia,70
sevilla,41091,2026-08-15,2026-08-15T15:35:12,36,22,85,40,36,23,8.0,0,,,,,0
sevilla,41091,2026-08-16,2026-08-15T15:35:12,38,22,85,35,38,21,8.0,0,C,,12,Poco nuboso,5
sevilla,41091,2026-08-17,2026-08-15T15:35:12,37,23,85,35,37,23,8.0,10,S,,13,Intervalos nubosos,45
sevilla,41091,2026-08-18,2026-08-15T15:35:12,37,20,95,35,37,20,8.0,0,C,,11,Despejado,5
sevilla,41091,2026-08-19,2026-08-15T15:35:12,31,19,100,35,31,19,8.0,15,SO,,12,Poco nuboso,0
sevilla,41091,2026-08-20,2026-08-15T15:35:12,32,19,100,45,32,19,,10,SO,,13,Intervalos nubosos,35
sevilla,41091,2026-08-21,2026-08-15T15:35:12,34,17,90,25,34,17,,10,SO,,13,Intervalos nubosos,25
bilbao,48020,2026-08-15,2026-08-15T15:35:12,29,21,90,65,29,21,7.0,0,,,,,0
bilbao,48020,2026-08-16,2026-08-15T15:35:12,30,20,95,60,30,20,7.0,10,NO,,45,Muy nuboso con lluvia escasa,100
bilbao,48020,2026-08-17,2026-08-15T15:35:12,30,19,95,60,30,19,7.0,10,N,,14,Nuboso,50
bilbao,48020,2026-08-18,2026-08-15T15:35:12,31,19,100,60,31,19,7.0,10,N,,13,Intervalos nubosos,10
bilbao,48020,2026-08-19,2026-08-15T15:35:12,28,19,100,60,28,19,7.0,10,N,,45,Muy nuboso con lluvia escasa,55
bilbao,48020,2026-08-20,2026-08-15T15:35:12,22,18,95,50,22,18,,10,N,,26,Cubierto con lluvia,90
bilbao,48020,2026-08-21,2026-08-15T15:35:12,24,16,70,50,24,16,,15,NO,,23,Intervalos nubosos con lluvia,80
zaragoza,50297,2026-08-15,2026-08-15T15:35:12,35,23,70,30,37,24,7.0,0,,,,,0
zaragoza,50297,2026-08-16,2026-08-15T15:35:12,34,21,85,35,36,22,7.0,0,C,,13,Intervalos nubosos,35
zaragoza,50297,2026-08-17,2026-08-15T15:35:12,36,21,75,15,38,22,7.0,10,O,,12,Poco nuboso,0
zaragoza,50297,2026-08-18,2026-08-15T15:35:12,40,21,80,15,40,21,7.0,5,O,,11,Despejado,0
zaragoza,50297,2026-08-19,2026-08-15T15:35:12,42,23,75,10,42,23,7.0,0,C,,13,Intervalos nubosos,10
zaragoza,50297,2026-08-20,2026-08-15T15:35:12,33,20,75,30,33,20,,15,NO,,43,Intervalos nubosos con lluvia escasa,55
zaragoza,50297,2026-08-21,2026-08-15T15:35:12,30,18,60,30,30,18,,10,NO,,43,Intervalos nubosos con lluvia escasa,60
a_coruna,15030,2026-08-15,2026-08-15T15:35:12,24,20,85,70,24,20,7.0,0,,,,,0
a_coruna,15030,2026-08-16,2026-08-15T15:35:12,26,20,85,60,26,20,7.0,25,NE,40,12,Poco nuboso,0
a_coruna,15030,2026-08-17,2026-08-15T15:35:12,26,20,90,60,26,20,7.0,20,N,,12,Poco nuboso,0
a_coruna,15030,2026-08-18,2026-08-15T15:35:12,27,19,90,60,27,19,7.0,15,N,,12,Poco nuboso,0
a_coruna,15030,2026-08-19,2026-08-15T15:35:12,24,19,90,55,24,19,7.0,20,NO,,16,Cubierto,30
a_coruna,15030,2026-08-20,2026-08-15T15:35:12,22,18,80,45,22,18,,15,NO,,13,Intervalos nubosos,35
a_coruna,15030,2026-08-21,2026-08-15T15:35:12,23,17,75,50,23,17,,20,N,,43,Intervalos nubosos con lluvia escasa,50
mataro,08121,2026-08-15,2026-08-15T15:35:12,33,25,80,55,33,25,8.0,0,,,,,0
mataro,08121,2026-08-16,2026-08-15T15:35:12,32,23,85,50,36,24,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,100
