ciudad,municipio,fecha_prevista,elaborado,tmax,tmin
madrid,28079,2026-08-12,2026-08-12T13:39:10,38,25
madrid,28079,2026-08-13,2026-08-12T13:39:10,39,24
madrid,28079,2026-08-14,2026-08-12T13:39:10,38,24
madrid,28079,2026-08-15,2026-08-12T13:39:10,36,23
madrid,28079,2026-08-16,2026-08-12T13:39:10,35,22
madrid,28079,2026-08-17,2026-08-12T13:39:10,35,21
madrid,28079,2026-08-18,2026-08-12T13:39:10,38,23
barcelona,08019,2026-08-12,2026-08-12T13:15:12,32,25
barcelona,08019,2026-08-13,2026-08-12T13:15:12,33,26
barcelona,08019,2026-08-14,2026-08-12T13:15:12,35,26
barcelona,08019,2026-08-15,2026-08-12T13:15:12,33,26
barcelona,08019,2026-08-16,2026-08-12T13:15:12,30,25
barcelona,08019,2026-08-17,2026-08-12T13:15:12,30,22
barcelona,08019,2026-08-18,2026-08-12T13:15:12,30,24
valencia,46250,2026-08-12,2026-08-12T13:39:10,33,25
valencia,46250,2026-08-13,2026-08-12T13:39:10,33,24
valencia,46250,2026-08-14,2026-08-12T13:39:10,33,25
valencia,46250,2026-08-15,2026-08-12T13:39:10,33,25
valencia,46250,2026-08-16,2026-08-12T13:39:10,32,25
valencia,46250,2026-08-17,2026-08-12T13:39:10,30,20
valencia,46250,2026-08-18,2026-08-12T13:39:10,30,23
sevilla,41091,2026-08-12,2026-08-12T13:31:11,40,20
sevilla,41091,2026-08-13,2026-08-12T13:31:11,40,23
sevilla,41091,2026-08-14,2026-08-12T13:31:11,39,24
sevilla,41091,2026-08-15,2026-08-12T13:31:11,36,22
sevilla,41091,2026-08-16,2026-08-12T13:31:11,36,21
sevilla,41091,2026-08-17,2026-08-12T13:31:11,38,22
sevilla,41091,2026-08-18,2026-08-12T13:31:11,41,22
bilbao,48020,2026-08-12,2026-08-12T13:39:10,34,20
bilbao,48020,2026-08-13,2026-08-12T13:39:10,32,19
bilbao,48020,2026-08-14,2026-08-12T13:39:10,31,19
bilbao,48020,2026-08-15,2026-08-12T13:39:10,29,21
bilbao,48020,2026-08-16,2026-08-12T13:39:10,26,19
bilbao,48020,2026-08-17,2026-08-12T13:39:10,27,19
bilbao,48020,2026-08-18,2026-08-12T13:39:10,28,18
zaragoza,50297,2026-08-12,2026-08-12T13:39:10,40,24
zaragoza,50297,2026-08-13,2026-08-12T13:39:10,41,24
zaragoza,50297,2026-08-14,2026-08-12T13:39:10,39,25
zaragoza,50297,2026-08-15,2026-08-12T13:39:10,35,23
zaragoza,50297,2026-08-16,2026-08-12T13:39:10,34,21
zaragoza,50297,2026-08-17,2026-08-12T13:39:10,34,19
zaragoza,50297,2026-08-18,2026-08-12T13:39:10,33,18
