ciudad,municipio,fecha_prevista,elaborado,tmax,tmin
madrid,28079,2026-08-11,2026-08-11T20:53:11,36,22
madrid,28079,2026-08-12,2026-08-11T20:53:11,38,25
madrid,28079,2026-08-13,2026-08-11T20:53:11,39,24
madrid,28079,2026-08-14,2026-08-11T20:53:11,38,24
madrid,28079,2026-08-15,2026-08-11T20:53:11,36,23
madrid,28079,2026-08-16,2026-08-11T20:53:11,35,22
madrid,28079,2026-08-17,2026-08-11T20:53:11,35,20
barcelona,08019,2026-08-11,2026-08-11T20:53:11,32,26
barcelona,08019,2026-08-12,2026-08-11T20:53:11,32,25
barcelona,08019,2026-08-13,2026-08-11T20:53:11,33,25
barcelona,08019,2026-08-14,2026-08-11T20:53:11,35,26
barcelona,08019,2026-08-15,2026-08-11T20:53:11,33,26
barcelona,08019,2026-08-16,2026-08-11T20:53:11,31,26
barcelona,08019,2026-08-17,2026-08-11T20:53:11,30,23
valencia,46250,2026-08-11,2026-08-11T20:53:11,33,25
valencia,46250,2026-08-12,2026-08-11T20:53:11,33,25
valencia,46250,2026-08-13,2026-08-11T20:53:11,33,24
valencia,46250,2026-08-14,2026-08-11T20:53:11,33,24
valencia,46250,2026-08-15,2026-08-11T20:53:11,33,25
valencia,46250,2026-08-16,2026-08-11T20:53:11,31,24
valencia,46250,2026-08-17,2026-08-11T20:53:11,30,23
sevilla,41091,2026-08-11,2026-08-11T20:53:11,39,19
sevilla,41091,2026-08-12,2026-08-11T20:53:11,40,20
sevilla,41091,2026-08-13,2026-08-11T20:53:11,40,23
sevilla,41091,2026-08-14,2026-08-11T20:53:11,39,24
sevilla,41091,2026-08-15,2026-08-11T20:53:11,36,22
sevilla,41091,2026-08-16,2026-08-11T20:53:11,35,20
sevilla,41091,2026-08-17,2026-08-11T20:53:11,37,22
bilbao,48020,2026-08-11,2026-08-11T20:53:11,32,19
bilbao,48020,2026-08-12,2026-08-11T20:53:11,34,19
bilbao,48020,2026-08-13,2026-08-11T20:53:11,32,19
bilbao,48020,2026-08-14,2026-08-11T20:53:11,31,20
bilbao,48020,2026-08-15,2026-08-11T20:53:11,28,19
bilbao,48020,2026-08-16,2026-08-11T20:53:11,27,19
bilbao,48020,2026-08-17,2026-08-11T20:53:11,26,16
