id,grupo,nombre,descripcion,termino
460,prevision,Previsión diaria de la demanda eléctrica peninsular,"<p>Es la previsión de consumo que Red Eléctrica elabora teniendo en cuenta los valores de consumo registrados en periodos precedentes similares, así como otros factores con influencia en el consumo eléctrico como la laboralidad, la climatología y la actividad económica.</p>

<p><strong>Important",previsión
461,prevision,Previsión mensual de la demanda eléctrica peninsular,"<p>Previsi&oacute;n de la demanda del sistema peninsular espa&ntilde;ol.</p>

<p>En concreto este indicador muestra la previsi&oacute;n de la demanda para todo el a&ntilde;o m&oacute;vil siguiente.</p>

<p><b>Publicaci&oacute;n:</b> mensualmente con la informaci&oacute;n del total de demanda men",previsión
480,prevision,Potencia disponible de generación Hidráulica UGH horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
481,prevision,Potencia disponible de generación Turbinación bombeo horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
482,prevision,Potencia disponible de generación Nuclear horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
483,prevision,Potencia disponible de generación Hulla antracita horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
484,prevision,Potencia disponible de generación Hulla sub-bituminosa horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
485,prevision,Potencia disponible de generación Ciclo combinado horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador s",previsto
486,prevision,Potencia disponible de generación Fuel horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
487,prevision,Potencia disponible de generación Gas Natural horizonte año móvil,"<p>Calculada, para cada tipo de producci&oacute;n de generaci&oacute;n convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado.</p>

<p>En concreto este indicador",previsto
