ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-04,2026-09-04T13:31:11,38,22,30,10,38,22,7.0,0,,,,,0
madrid,28079,2026-09-05,2026-09-04T13:31:11,36,26,40,15,36,26,7.0,10,S,,13,Intervalos nubosos,15
madrid,28079,2026-09-06,2026-09-04T13:31:11,36,24,40,15,36,24,7.0,0,C,,13,Intervalos nubosos,10
madrid,28079,2026-09-07,2026-09-04T13:31:11,37,22,40,15,37,22,7.0,5,SO,,12,Poco nuboso,0
madrid,28079,2026-09-08,2026-09-04T13:31:11,35,22,35,10,35,22,7.0,15,SO,,11,Despejado,0
madrid,28079,2026-09-09,2026-09-04T13:31:11,28,17,55,15,28,17,,10,N,,14,Nuboso,5
madrid,28079,2026-09-10,2026-09-04T13:31:11,29,13,35,15,29,13,,5,S,,13,Intervalos nubosos,10
barcelona,08019,2026-09-04,2026-09-04T13:31:11,33,25,75,50,33,25,7.0,0,,,,,0
barcelona,08019,2026-09-05,2026-09-04T13:31:11,33,25,65,35,35,25,6.0,10,SE,,11,Despejado,0
barcelona,08019,2026-09-06,2026-09-04T13:31:11,33,25,80,40,33,25,6.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-07,2026-09-04T13:31:11,32,26,80,45,32,26,6.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-08,2026-09-04T13:31:11,33,24,80,45,33,24,6.0,15,S,,13,Intervalos nubosos,10
barcelona,08019,2026-09-09,2026-09-04T13:31:11,29,21,90,55,29,21,,5,NO,,25,Muy nuboso con lluvia,75
barcelona,08019,2026-09-10,2026-09-04T13:31:11,28,21,65,50,28,21,,15,S,,23,Intervalos nubosos con lluvia,85
valencia,46250,2026-09-04,2026-09-04T13:31:11,32,22,95,60,32,22,7.0,0,,,,,0
valencia,46250,2026-09-05,2026-09-04T13:31:11,32,23,100,55,35,23,7.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-09-06,2026-09-04T13:31:11,34,21,70,25,34,21,7.0,10,SE,,17,Nubes altas,0
valencia,46250,2026-09-07,2026-09-04T13:31:11,34,22,55,25,34,22,6.0,10,E,,11,Despejado,0
valencia,46250,2026-09-08,2026-09-04T13:31:11,32,22,80,35,32,22,7.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-09-09,2026-09-04T13:31:11,31,19,80,40,31,19,,10,SE,,12,Poco nuboso,5
valencia,46250,2026-09-10,2026-09-04T13:31:11,28,18,65,35,28,18,,15,SE,,13,Intervalos nubosos,20
sevilla,41091,2026-09-04,2026-09-04T13:31:11,38,23,75,35,37,23,7.0,0,,,,,0
sevilla,41091,2026-09-05,2026-09-04T13:31:11,37,24,70,25,36,24,7.0,10,NE,,13,Intervalos nubosos,25
sevilla,41091,2026-09-06,2026-09-04T13:31:11,39,23,40,15,40,23,7.0,0,C,,13,Intervalos nubosos,10
sevilla,41091,2026-09-07,2026-09-04T13:31:11,41,23,55,15,41,23,7.0,0,C,,11,Despejado,0
sevilla,41091,2026-09-08,2026-09-04T13:31:11,40,23,65,15,40,23,7.0,10,SO,,12,Poco nuboso,0
sevilla,41091,2026-09-09,2026-09-04T13:31:11,35,21,65,30,35,21,,10,O,,12,Poco nuboso,0
sevilla,41091,2026-09-10,2026-09-04T13:31:11,36,19,80,25,36,19,,5,SO,,12,Poco nuboso,0
bilbao,48020,2026-09-04,2026-09-04T15:43:10,34,16,95,55,34,16,6.0,0,,,,,0
