ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-21,2026-09-21T16:59:07,32,18,45,20,32,18,6.0,0,,,,,0
madrid,28079,2026-09-22,2026-09-21T16:59:07,33,19,35,10,33,19,6.0,10,NE,,17,Nubes altas,0
madrid,28079,2026-09-23,2026-09-21T16:59:07,32,19,45,20,32,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-24,2026-09-21T16:59:07,33,19,45,15,33,19,6.0,0,C,,11,Despejado,0
madrid,28079,2026-09-25,2026-09-21T16:59:07,33,19,35,15,33,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-26,2026-09-21T16:59:07,32,17,35,15,32,17,,0,C,,11,Despejado,0
madrid,28079,2026-09-27,2026-09-21T16:59:07,30,19,70,25,30,19,,0,C,,13,Intervalos nubosos,10
barcelona,08019,2026-09-21,2026-09-21T16:59:07,31,19,75,30,31,19,6.0,0,,,,,0
barcelona,08019,2026-09-22,2026-09-21T16:59:07,29,21,95,45,29,21,6.0,10,S,,12,Poco nuboso,0
barcelona,08019,2026-09-23,2026-09-21T16:59:07,29,20,80,35,29,20,5.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-24,2026-09-21T16:59:07,30,18,80,35,30,18,5.0,10,S,,11,Despejado,0
barcelona,08019,2026-09-25,2026-09-21T16:59:07,30,20,85,50,30,20,5.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-26,2026-09-21T16:59:07,29,19,90,70,29,19,,10,SE,,12,Poco nuboso,5
barcelona,08019,2026-09-27,2026-09-21T16:59:07,28,20,95,65,28,20,,10,SE,,13,Intervalos nubosos,25
valencia,46250,2026-09-21,2026-09-21T16:59:07,30,16,70,25,31,17,6.0,0,,,,,0
valencia,46250,2026-09-22,2026-09-21T16:59:07,30,17,80,30,30,17,6.0,10,E,,17,Nubes altas,0
valencia,46250,2026-09-23,2026-09-21T16:59:07,29,19,90,55,29,19,5.0,10,E,,11,Despejado,0
valencia,46250,2026-09-24,2026-09-21T16:59:07,28,18,95,50,28,18,5.0,10,SE,,12,Poco nuboso,0
valencia,46250,2026-09-25,2026-09-21T16:59:07,32,18,80,40,32,18,6.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-09-26,2026-09-21T16:59:07,28,19,95,65,28,19,,15,E,,12,Poco nuboso,5
valencia,46250,2026-09-27,2026-09-21T16:59:07,28,18,95,65,28,18,,10,E,,14,Nuboso,25
sevilla,41091,2026-09-21,2026-09-21T16:59:07,35,21,80,25,35,21,6.0,0,,,,,0
sevilla,41091,2026-09-22,2026-09-21T16:59:07,36,19,70,20,36,19,6.0,10,E,,11,Despejado,0
sevilla,41091,2026-09-23,2026-09-21T16:59:07,37,19,85,20,37,19,6.0,0,C,,12,Poco nuboso,0
sevilla,41091,2026-09-24,2026-09-21T16:59:07,37,20,60,20,37,20,6.0,0,C,,11,Despejado,0
sevilla,41091,2026-09-25,2026-09-21T16:59:07,38,19,75,20,38,19,6.0,0,C,,11,Despejado,0
sevilla,41091,2026-09-26,2026-09-21T16:59:07,38,19,60,15,38,19,,0,C,,12,Poco nuboso,0
sevilla,41091,2026-09-27,2026-09-21T16:59:07,35,22,70,15,35,22,,0,C,,17,Nubes altas,5
bilbao,48020,2026-09-21,2026-09-21T16:59:07,28,12,95,45,28,12,5.0,0,,,,,0
bilbao,48020,2026-09-22,2026-09-21T16:59:07,27,13,90,40,27,13,5.0,0,C,,12,Poco nuboso,0
bilbao,48020,2026-09-23,2026-09-21T16:59:07,28,12,90,30,28,12,5.0,5,NO,,12,Poco nuboso,0
bilbao,48020,2026-09-24,2026-09-21T16:59:07,33,11,90,35,33,11,5.0,0,C,,12,Poco nuboso,0
bilbao,48020,2026-09-25,2026-09-21T16:59:07,27,15,90,60,27,15,5.0,10,N,,12,Poco nuboso,5
bilbao,48020,2026-09-26,2026-09-21T16:59:07,27,15,95,55,27,15,,0,C,,13,Intervalos nubosos,10
