ciudad,municipio,fecha_prevista,elaborado,tmax,tmin
madrid,28079,2026-08-13,2026-08-13T07:25:13,39,24
madrid,28079,2026-08-14,2026-08-13T07:25:13,38,24
madrid,28079,2026-08-15,2026-08-13T07:25:13,34,22
madrid,28079,2026-08-16,2026-08-13T07:25:13,34,20
madrid,28079,2026-08-17,2026-08-13T07:25:13,35,21
madrid,28079,2026-08-18,2026-08-13T07:25:13,36,22
madrid,28079,2026-08-19,2026-08-13T07:25:13,37,23
barcelona,08019,2026-08-13,2026-08-13T07:41:12,33,26
barcelona,08019,2026-08-14,2026-08-13T07:41:12,35,26
barcelona,08019,2026-08-15,2026-08-13T07:41:12,34,26
barcelona,08019,2026-08-16,2026-08-13T07:41:12,33,26
barcelona,08019,2026-08-17,2026-08-13T07:41:12,32,25
barcelona,08019,2026-08-18,2026-08-13T07:41:12,32,27
barcelona,08019,2026-08-19,2026-08-13T07:41:12,33,26
valencia,46250,2026-08-13,2026-08-13T07:25:13,33,24
valencia,46250,2026-08-14,2026-08-13T07:25:13,33,25
valencia,46250,2026-08-15,2026-08-13T07:25:13,33,25
valencia,46250,2026-08-16,2026-08-13T07:25:13,32,24
valencia,46250,2026-08-17,2026-08-13T07:25:13,33,24
valencia,46250,2026-08-18,2026-08-13T07:25:13,32,24
valencia,46250,2026-08-19,2026-08-13T07:25:13,33,25
sevilla,41091,2026-08-13,2026-08-13T07:25:13,40,23
sevilla,41091,2026-08-14,2026-08-13T07:25:13,39,24
sevilla,41091,2026-08-15,2026-08-13T07:25:13,35,22
sevilla,41091,2026-08-16,2026-08-13T07:25:13,36,21
sevilla,41091,2026-08-17,2026-08-13T07:25:13,39,23
sevilla,41091,2026-08-18,2026-08-13T07:25:13,39,23
sevilla,41091,2026-08-19,2026-08-13T07:25:13,38,22
bilbao,48020,2026-08-13,2026-08-13T07:41:12,33,19
bilbao,48020,2026-08-14,2026-08-13T07:41:12,30,19
bilbao,48020,2026-08-15,2026-08-13T07:41:12,29,21
bilbao,48020,2026-08-16,2026-08-13T07:41:12,29,20
bilbao,48020,2026-08-17,2026-08-13T07:41:12,30,19
bilbao,48020,2026-08-18,2026-08-13T07:41:12,30,17
bilbao,48020,2026-08-19,2026-08-13T07:41:12,29,18
zaragoza,50297,2026-08-13,2026-08-13T07:25:13,41,24
zaragoza,50297,2026-08-14,2026-08-13T07:25:13,39,25
zaragoza,50297,2026-08-15,2026-08-13T07:25:13,35,23
zaragoza,50297,2026-08-16,2026-08-13T07:25:13,34,21
zaragoza,50297,2026-08-17,2026-08-13T07:25:13,35,21
zaragoza,50297,2026-08-18,2026-08-13T07:25:13,36,20
zaragoza,50297,2026-08-19,2026-08-13T07:25:13,38,20
