ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-26,2026-08-26T12:39:10,29,19,75,30,29,19,7.0,0,,,,,0
madrid,28079,2026-08-27,2026-08-26T12:39:10,24,15,85,40,24,16,7.0,15,SO,,26,Cubierto con lluvia,100
madrid,28079,2026-08-28,2026-08-26T12:39:10,26,13,85,25,26,13,6.0,5,S,,11,Despejado,0
madrid,28079,2026-08-29,2026-08-26T12:39:10,30,16,65,20,30,16,7.0,0,C,,11,Despejado,0
madrid,28079,2026-08-30,2026-08-26T12:39:10,32,18,50,15,32,18,8.0,10,SO,,11,Despejado,0
madrid,28079,2026-08-31,2026-08-26T12:39:10,34,19,60,20,34,19,,5,S,,11,Despejado,0
madrid,28079,2026-09-01,2026-08-26T12:39:10,33,21,55,15,33,21,,10,SO,,12,Poco nuboso,0
barcelona,08019,2026-08-26,2026-08-26T12:39:10,31,24,85,65,31,24,7.0,0,,,,,0
barcelona,08019,2026-08-27,2026-08-26T12:39:10,32,24,95,45,36,24,7.0,15,S,,13,Intervalos nubosos,25
barcelona,08019,2026-08-28,2026-08-26T12:39:10,34,25,75,20,34,25,7.0,10,SO,,13,Intervalos nubosos,40
barcelona,08019,2026-08-29,2026-08-26T12:39:10,31,22,75,35,31,22,7.0,10,SE,,11,Despejado,5
barcelona,08019,2026-08-30,2026-08-26T12:39:10,31,22,80,50,31,22,7.0,15,S,,11,Despejado,0
barcelona,08019,2026-08-31,2026-08-26T12:39:10,31,24,80,50,31,24,,10,SE,,13,Intervalos nubosos,15
barcelona,08019,2026-09-01,2026-08-26T12:39:10,31,24,75,50,31,24,,10,SE,,13,Intervalos nubosos,10
valencia,46250,2026-08-26,2026-08-26T12:39:10,31,24,85,50,32,24,7.0,0,,,,,0
valencia,46250,2026-08-27,2026-08-26T12:39:10,35,22,90,25,35,22,7.0,20,O,,11,Despejado,5
valencia,46250,2026-08-28,2026-08-26T12:39:10,32,23,70,20,32,23,7.0,5,O,,13,Intervalos nubosos,30
valencia,46250,2026-08-29,2026-08-26T12:39:10,30,20,75,30,30,20,7.0,15,E,,11,Despejado,0
valencia,46250,2026-08-30,2026-08-26T12:39:10,30,20,75,55,30,20,7.0,15,E,,11,Despejado,0
valencia,46250,2026-08-31,2026-08-26T12:39:10,31,22,85,60,31,22,,20,E,,13,Intervalos nubosos,10
valencia,46250,2026-09-01,2026-08-26T12:39:10,31,24,95,70,31,24,,10,E,,14,Nuboso,30
sevilla,41091,2026-08-26,2026-08-26T12:39:10,29,18,95,40,30,18,7.0,0,,,,,0
sevilla,41091,2026-08-27,2026-08-26T12:39:10,27,19,95,35,27,19,7.0,20,SO,40,13,Intervalos nubosos,40
sevilla,41091,2026-08-28,2026-08-26T12:39:10,32,15,75,20,32,15,6.0,0,C,,11,Despejado,0
