ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-02,2026-09-02T17:05:12,36,20,50,15,35,19,7.0,0,,,,,0
madrid,28079,2026-09-03,2026-09-02T17:05:12,37,21,60,10,37,21,7.0,10,SO,,11,Despejado,0
madrid,28079,2026-09-04,2026-09-02T17:05:12,38,22,35,10,38,21,7.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-05,2026-09-02T17:05:12,36,25,30,15,36,25,7.0,10,S,,14,Nuboso,15
madrid,28079,2026-09-06,2026-09-02T17:05:12,36,23,40,15,36,23,7.0,0,C,,13,Intervalos nubosos,10
madrid,28079,2026-09-07,2026-09-02T17:05:12,37,22,55,15,37,22,,5,S,,11,Despejado,5
madrid,28079,2026-09-08,2026-09-02T17:05:12,35,23,30,15,35,23,,10,SO,,13,Intervalos nubosos,10
barcelona,08019,2026-09-02,2026-09-02T17:05:12,31,24,75,40,31,24,6.0,0,,,,,0
barcelona,08019,2026-09-03,2026-09-02T17:05:12,32,25,70,40,33,25,7.0,15,SO,,11,Despejado,0
barcelona,08019,2026-09-04,2026-09-02T17:05:12,33,25,80,50,33,25,7.0,15,S,,11,Despejado,0
barcelona,08019,2026-09-05,2026-09-02T17:05:12,34,25,85,40,34,25,6.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-06,2026-09-02T17:05:12,35,25,75,40,35,25,6.0,10,SE,,17,Nubes altas,0
barcelona,08019,2026-09-07,2026-09-02T17:05:12,32,25,80,55,32,25,,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-08,2026-09-02T17:05:12,34,24,75,40,34,24,,15,S,,13,Intervalos nubosos,40
valencia,46250,2026-09-02,2026-09-02T17:05:12,30,21,90,70,30,21,6.0,0,,,,,0
valencia,46250,2026-09-03,2026-09-02T17:05:12,31,23,95,60,35,23,7.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-04,2026-09-02T17:05:12,32,22,100,55,32,22,7.0,10,SE,,12,Poco nuboso,0
