id,nombre,estado,detalle,values_updated_at,filas
50,Generación programada PVP Solar térmica,ok,,2026-08-12T15:42:21.000+02:00,192
51,Generación programada PVP Océano y geotérmica,vacio,sin valores (aún no publicado),,0
52,Generación programada PVP Gas Natural Cogeneración,ok,,2026-08-12T15:42:21.000+02:00,192
53,Generación programada PVP Derivados del petróleo ó carbón,ok,,2026-08-12T15:42:21.000+02:00,192
54,Generación programada PVP Subproductos minería,vacio,sin valores (aún no publicado),,0
55,Generación programada PVP Energía residual,ok,,2026-08-12T15:42:21.000+02:00,192
56,Generación programada PVP Biomasa,ok,,2026-08-12T15:42:21.000+02:00,192
57,Generación programada PVP Biogás,ok,,2026-08-12T15:42:21.000+02:00,192
58,Generación programada PVP Residuos domésticos y similares,ok,,2026-08-12T15:42:21.000+02:00,192
59,Generación programada PVP Residuos varios,ok,,2026-08-12T15:42:21.000+02:00,192
60,Generación programada PVP Consumo bombeo,ok,,2026-08-12T15:42:21.000+02:00,82
61,Generación programada PVP Enlace Baleares,ok,,2026-08-12T15:42:21.000+02:00,192
62,Generación programada PVP Genéricas,vacio,sin valores (aún no publicado),,0
63,Generación programada PVP Importación Francia,ok,,2026-08-12T15:42:21.000+02:00,103
64,Generación programada PVP Importación Portugal,ok,,2026-08-12T15:42:21.000+02:00,11
65,Generación programada PVP Importación Marruecos,vacio,sin valores (aún no publicado),,0
66,Generación programada PVP Importación Andorra,vacio,sin valores (aún no publicado),,0
67,Generación programada PVP Exportación Francia,ok,,2026-08-12T15:42:21.000+02:00,89
68,Generación programada PVP Exportación Portugal,ok,,2026-08-12T15:42:21.000+02:00,181
69,Generación programada PVP Exportación Marruecos,ok,,2026-08-12T15:42:21.000+02:00,192
70,Generación programada PVP Exportación Andorra,ok,,2026-08-12T15:42:21.000+02:00,192
71,Generación programada P48 Hidráulica UGH,ok,,2026-08-13T00:55:58.000+02:00,192
72,Generación programada P48 Hidráulica no UGH,ok,,2026-08-13T00:55:58.000+02:00,192
73,Generación programada P48 Turbinación bombeo,ok,,2026-08-13T00:55:58.000+02:00,131
74,Generación programada P48 Nuclear,ok,,2026-08-13T00:55:58.000+02:00,192
75,Generación programada P48 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
76,Generación programada P48 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
77,Generación programada P48 Hulla antracita,ok,,2026-08-13T00:55:58.000+02:00,123
78,Generación programada P48 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
79,Generación programada P48 Ciclo combinado,ok,,2026-08-13T00:55:58.000+02:00,192
80,Generación programada P48 Fuel,vacio,sin valores (aún no publicado),,0
81,Generación programada P48 Gas Natural - Turbina de vapor,ok,,2026-08-13T00:55:58.000+02:00,192
82,Generación programada P48 Eólica terrestre,ok,,2026-08-13T00:55:58.000+02:00,192
83,Generación programada P48 Eólica marina,ok,,2026-08-13T00:55:58.000+02:00,109
84,Generación programada P48 Solar fotovoltaica,ok,,2026-08-13T00:55:58.000+02:00,189
85,Generación programada P48 Solar térmica,ok,,2026-08-13T00:55:58.000+02:00,192
86,Generación programada P48 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
87,Generación programada P48 Gas Natural Cogeneración,ok,,2026-08-13T00:55:58.000+02:00,192
88,Generación programada P48 Derivados del petróleo ó carbón,ok,,2026-08-13T00:55:58.000+02:00,192
89,Generación programada P48 Subproductos minería,vacio,sin valores (aún no publicado),,0
90,Generación programada P48 Energía residual,ok,,2026-08-13T00:55:58.000+02:00,192
91,Generación programada P48 Biomasa,ok,,2026-08-13T00:55:58.000+02:00,192
92,Generación programada P48 Biogás,ok,,2026-08-13T00:55:58.000+02:00,192
93,Generación programada P48 Residuos domésticos y similares,ok,,2026-08-13T00:55:58.000+02:00,192
94,Generación programada P48 Residuos varios,ok,,2026-08-13T00:55:58.000+02:00,192
95,Generación programada P48 Consumo bombeo,ok,,2026-08-13T00:55:58.000+02:00,85
96,Generación programada P48 Enlace Baleares,ok,,2026-08-13T00:55:58.000+02:00,192
97,Generación programada P48 Genéricas,vacio,sin valores (aún no publicado),,0
98,Generación programada P48 Importación Francia,ok,,2026-08-13T00:55:58.000+02:00,156
99,Generación programada P48 Importación Portugal,ok,,2026-08-13T00:55:58.000+02:00,94
100,Generación programada P48 Importación Marruecos,vacio,sin valores (aún no publicado),,0
101,Generación programada P48 Importación Andorra,vacio,sin valores (aún no publicado),,0
102,Generación programada P48 Exportación Francia,ok,,2026-08-13T00:55:58.000+02:00,145
103,Generación programada P48 Exportación Portugal,ok,,2026-08-13T00:55:59.000+02:00,190
104,Generación programada P48 Exportación Marruecos,ok,,2026-08-13T00:55:59.000+02:00,192
105,Generación programada P48 Exportación Andorra,ok,,2026-08-13T00:55:59.000+02:00,192
106,Generación programada PHF1 Hidráulica UGH,ok,,2026-08-12T17:15:06.000+02:00,192
107,Generación programada PHF1 Hidráulica no UGH,ok,,2026-08-12T17:15:06.000+02:00,192
108,Generación programada PHF1 Turbinación bombeo,ok,,2026-08-12T17:15:06.000+02:00,116
109,Generación programada PHF1 Nuclear,ok,,2026-08-12T17:15:06.000+02:00,192
110,Generación programada PHF1 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
111,Generación programada PHF1 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
112,Generación programada PHF1 Hulla antracita,ok,,2026-08-12T17:15:06.000+02:00,111
113,Generación programada PHF1 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
114,Generación programada PHF1 Ciclo combinado,ok,,2026-08-12T17:15:06.000+02:00,192
115,Generación programada PHF1 Fuel,vacio,sin valores (aún no publicado),,0
116,Generación programada PHF1 Gas Natural - Turbina de vapor,ok,,2026-08-12T17:15:06.000+02:00,192
117,Generación programada PHF1 Eólica terrestre,ok,,2026-08-12T17:15:06.000+02:00,192
118,Generación programada PHF1 Eólica marina,ok,,2026-08-12T17:15:06.000+02:00,109
119,Generación programada PHF1 Solar fotovoltaica,ok,,2026-08-12T17:15:06.000+02:00,182
120,Generación programada PHF1 Solar térmica,ok,,2026-08-12T17:15:06.000+02:00,192
121,Generación programada PHF1 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
122,Generación programada PHF1 Gas Natural Cogeneración,ok,,2026-08-12T17:15:06.000+02:00,192
123,Generación programada PHF1 Derivados del petróleo ó carbón,ok,,2026-08-12T17:15:06.000+02:00,192
124,Generación programada PHF1 Subproductos minería,vacio,sin valores (aún no publicado),,0
125,Generación programada PHF1 Energía residual,ok,,2026-08-12T17:15:06.000+02:00,192
126,Generación programada PHF1 Biomasa,ok,,2026-08-12T17:15:06.000+02:00,192
127,Generación programada PHF1 Biogás,ok,,2026-08-12T17:15:06.000+02:00,192
128,Generación programada PHF1 Residuos domésticos y similares,ok,,2026-08-12T17:15:06.000+02:00,192
129,Generación programada PHF1 Residuos varios,ok,,2026-08-12T17:15:06.000+02:00,192
130,Generación programada PHF1 Consumo bombeo,ok,,2026-08-12T17:15:06.000+02:00,82
131,Generación programada PHF1 Enlace Baleares,ok,,2026-08-12T17:15:06.000+02:00,192
132,Generación programada PHF1 Genéricas,vacio,sin valores (aún no publicado),,0
133,Generación programada PHF1 Importación Francia,ok,,2026-08-12T17:15:06.000+02:00,118
134,Generación programada PHF1 Importación Portugal,ok,,2026-08-12T17:15:06.000+02:00,28
