fuente,desde,hasta,capturas
saih_duero_situacion_embalses.html,2026-09-08-1937,2026-09-08-1959,3
saih_ebro_aforos_cuenca.json,2026-09-08-1937,2026-09-08-1959,3
saih_ebro_volumenes_embalsados.json,2026-09-08-1937,2026-09-08-1959,3
saih_mino_sil_situacion_embalses.html,2026-09-08-1937,2026-09-08-1959,3
