ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-10,2026-09-10T21:01:10,27,12,25,15,27,12,6.0,0,,,,,0
madrid,28079,2026-09-11,2026-09-10T21:01:10,30,15,35,10,30,14,6.0,0,C,,11,Despejado,0
madrid,28079,2026-09-12,2026-09-10T21:01:10,31,16,60,20,31,16,6.0,5,E,,12,Poco nuboso,0
madrid,28079,2026-09-13,2026-09-10T21:01:10,31,18,70,20,31,18,6.0,0,C,,11,Despejado,0
madrid,28079,2026-09-14,2026-09-10T21:01:10,32,18,60,20,32,18,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-15,2026-09-10T21:01:10,35,19,45,15,35,19,,0,C,,11,Despejado,0
madrid,28079,2026-09-16,2026-09-10T21:01:10,34,21,55,20,34,21,,0,C,,12,Poco nuboso,0
barcelona,08019,2026-09-10,2026-09-10T21:01:10,27,18,75,50,27,18,5.0,0,,,,,0
barcelona,08019,2026-09-11,2026-09-10T21:01:10,28,19,85,35,29,19,6.0,15,SO,,12,Poco nuboso,5
barcelona,08019,2026-09-12,2026-09-10T21:01:10,28,20,90,50,28,20,6.0,10,S,,43,Intervalos nubosos con lluvia escasa,80
barcelona,08019,2026-09-13,2026-09-10T21:01:10,29,20,85,45,29,20,6.0,10,SE,,11,Despejado,0
barcelona,08019,2026-09-14,2026-09-10T21:01:10,32,20,85,45,32,20,6.0,10,S,,12,Poco nuboso,0
barcelona,08019,2026-09-15,2026-09-10T21:01:10,32,22,80,45,32,22,,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-16,2026-09-10T21:01:10,32,21,90,50,32,21,,10,SE,,13,Intervalos nubosos,10
valencia,46250,2026-09-10,2026-09-10T21:01:10,28,17,90,70,26,17,6.0,0,,,,,0
valencia,46250,2026-09-11,2026-09-10T21:01:10,28,17,90,55,28,18,6.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-12,2026-09-10T21:01:10,28,19,85,50,28,19,6.0,15,E,,13,Intervalos nubosos,20
valencia,46250,2026-09-13,2026-09-10T21:01:10,28,19,85,55,28,19,6.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-14,2026-09-10T21:01:10,30,18,85,40,30,18,6.0,10,SE,,11,Despejado,0
valencia,46250,2026-09-15,2026-09-10T21:01:10,32,19,65,35,32,19,,10,SE,,11,Despejado,0
valencia,46250,2026-09-16,2026-09-10T21:01:10,32,20,60,40,32,20,,10,E,,11,Despejado,0
sevilla,41091,2026-09-10,2026-09-10T21:01:10,34,18,75,35,35,18,7.0,0,,,,,0
sevilla,41091,2026-09-11,2026-09-10T21:01:10,35,19,100,20,36,18,6.0,5,E,,12,Poco nuboso,0
sevilla,41091,2026-09-12,2026-09-10T21:01:10,36,20,70,15,37,20,6.0,20,E,40,12,Poco nuboso,0
sevilla,41091,2026-09-13,2026-09-10T21:01:10,37,21,75,20,37,21,6.0,15,E,,11,Despejado,0
sevilla,41091,2026-09-14,2026-09-10T21:01:10,37,20,65,20,37,20,6.0,15,E,,11,Despejado,0
sevilla,41091,2026-09-15,2026-09-10T21:01:10,37,20,75,25,37,20,,0,C,,11,Despejado,0
sevilla,41091,2026-09-16,2026-09-10T21:01:10,37,20,70,25,37,20,,0,C,,11,Despejado,0
bilbao,48020,2026-09-10,2026-09-10T21:01:10,24,12,75,55,24,12,6.0,0,,,,,0
bilbao,48020,2026-09-11,2026-09-10T21:01:10,24,12,90,55,24,12,6.0,10,N,,12,Poco nuboso,5
bilbao,48020,2026-09-12,2026-09-10T21:01:10,26,13,95,45,26,13,6.0,10,E,,11,Despejado,0
