ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-26,2026-08-26T20:53:11,29,19,80,30,29,18,7.0,0,,,,,0
madrid,28079,2026-08-27,2026-08-26T20:53:11,24,15,90,35,24,16,7.0,20,SO,,25,Muy nuboso con lluvia,100
madrid,28079,2026-08-28,2026-08-26T20:53:11,26,13,90,25,25,13,6.0,5,O,,12,Poco nuboso,0
madrid,28079,2026-08-29,2026-08-26T20:53:11,29,14,55,15,29,14,7.0,0,C,,11,Despejado,0
madrid,28079,2026-08-30,2026-08-26T20:53:11,32,16,45,20,32,16,8.0,10,SO,,11,Despejado,0
madrid,28079,2026-08-31,2026-08-26T20:53:11,33,19,65,20,33,19,,10,SO,,11,Despejado,0
madrid,28079,2026-09-01,2026-08-26T20:53:11,34,20,60,10,34,20,,10,SO,,12,Poco nuboso,0
barcelona,08019,2026-08-26,2026-08-26T20:53:11,31,24,80,70,31,24,7.0,0,,,,,0
barcelona,08019,2026-08-27,2026-08-26T20:53:11,32,24,85,40,37,25,7.0,15,S,,13,Intervalos nubosos,35
barcelona,08019,2026-08-28,2026-08-26T20:53:11,34,25,75,15,33,26,7.0,15,O,,13,Intervalos nubosos,30
barcelona,08019,2026-08-29,2026-08-26T20:53:11,30,23,70,40,30,23,7.0,10,SE,,11,Despejado,0
barcelona,08019,2026-08-30,2026-08-26T20:53:11,31,22,80,50,31,22,7.0,15,S,,11,Despejado,0
barcelona,08019,2026-08-31,2026-08-26T20:53:11,31,23,75,50,31,23,,10,S,,13,Intervalos nubosos,30
barcelona,08019,2026-09-01,2026-08-26T20:53:11,31,23,75,50,31,23,,10,SE,,13,Intervalos nubosos,20
valencia,46250,2026-08-26,2026-08-26T20:53:11,31,24,85,75,32,24,7.0,0,,,,,0
valencia,46250,2026-08-27,2026-08-26T20:53:11,35,22,85,25,35,23,7.0,20,O,40,11,Despejado,0
valencia,46250,2026-08-28,2026-08-26T20:53:11,32,23,70,20,32,23,7.0,10,O,,17,Nubes altas,0
valencia,46250,2026-08-29,2026-08-26T20:53:11,30,19,85,35,30,19,7.0,15,E,,11,Despejado,0
valencia,46250,2026-08-30,2026-08-26T20:53:11,29,20,90,55,29,20,7.0,15,E,,11,Despejado,0
valencia,46250,2026-08-31,2026-08-26T20:53:11,30,21,80,60,30,21,,15,NE,,13,Intervalos nubosos,10
valencia,46250,2026-09-01,2026-08-26T20:53:11,30,23,80,60,30,23,,15,SE,,14,Nuboso,50
sevilla,41091,2026-08-26,2026-08-26T20:53:11,29,18,90,55,30,18,7.0,0,,,,,0
sevilla,41091,2026-08-27,2026-08-26T20:53:11,27,19,95,40,29,18,7.0,25,SO,40,15,Muy nuboso,30
sevilla,41091,2026-08-28,2026-08-26T20:53:11,32,15,80,25,31,15,6.0,10,NE,,11,Despejado,0
