ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-24,2026-09-24T09:37:08,34,19,55,20,33,19,6.0,0,,,,,0
madrid,28079,2026-09-25,2026-09-24T09:37:08,34,21,40,15,34,20,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-26,2026-09-24T09:37:08,33,19,45,15,33,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-27,2026-09-24T09:37:08,30,19,60,20,30,19,6.0,0,C,,17,Nubes altas,0
madrid,28079,2026-09-28,2026-09-24T09:37:08,26,19,65,35,26,19,5.0,5,SE,,15,Muy nuboso,25
madrid,28079,2026-09-29,2026-09-24T09:37:08,27,17,85,40,27,17,,10,S,,43,Intervalos nubosos con lluvia escasa,65
madrid,28079,2026-09-30,2026-09-24T09:37:08,23,17,100,45,23,17,,10,S,,46,Cubierto con lluvia escasa,75
barcelona,08019,2026-09-24,2026-09-24T09:15:10,30,18,85,35,30,18,5.0,0,,,,,0
barcelona,08019,2026-09-25,2026-09-24T09:15:10,29,20,80,50,31,20,5.0,10,E,,12,Poco nuboso,0
barcelona,08019,2026-09-26,2026-09-24T09:15:10,29,20,85,50,29,20,5.0,10,SE,,11,Despejado,0
barcelona,08019,2026-09-27,2026-09-24T09:15:10,29,20,90,55,29,20,5.0,10,SE,,14,Nuboso,15
barcelona,08019,2026-09-28,2026-09-24T09:15:10,28,23,80,60,28,23,5.0,15,SE,,43,Intervalos nubosos con lluvia escasa,80
barcelona,08019,2026-09-29,2026-09-24T09:15:10,29,23,80,60,29,23,,15,SE,,23,Intervalos nubosos con lluvia,90
barcelona,08019,2026-09-30,2026-09-24T09:15:10,29,22,90,60,29,22,,10,S,,43,Intervalos nubosos con lluvia escasa,75
valencia,46250,2026-09-24,2026-09-24T09:37:08,28,18,95,50,29,18,5.0,0,,,,,0
valencia,46250,2026-09-25,2026-09-24T09:37:08,32,19,95,40,32,19,5.0,10,E,,11,Despejado,0
valencia,46250,2026-09-26,2026-09-24T09:37:08,29,20,100,60,29,20,6.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-09-27,2026-09-24T09:37:08,28,19,90,60,28,19,5.0,10,E,,17,Nubes altas,0
valencia,46250,2026-09-28,2026-09-24T09:37:08,26,20,95,65,26,20,5.0,10,E,,43,Intervalos nubosos con lluvia escasa,80
valencia,46250,2026-09-29,2026-09-24T09:37:08,27,20,95,65,27,20,,5,E,,44,Nuboso con lluvia escasa,65
valencia,46250,2026-09-30,2026-09-24T09:37:08,28,19,95,60,28,19,,0,C,,15,Muy nuboso,30
