datetime_utc,reserva_hidraulica
2026-07-05 22:00:00+00:00,13784001.0
2026-07-12 22:00:00+00:00,13350101.0
2026-07-19 22:00:00+00:00,12882929.0
2026-07-26 22:00:00+00:00,12475477.0
