id,nombre,estado,detalle,values_updated_at,filas
74,Generación programada P48 Nuclear,ok,,2026-08-11T10:39:01.000+02:00,192
75,Generación programada P48 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
76,Generación programada P48 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
77,Generación programada P48 Hulla antracita,vacio,sin valores (aún no publicado),,0
78,Generación programada P48 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
79,Generación programada P48 Ciclo combinado,ok,,2026-08-11T10:39:01.000+02:00,192
80,Generación programada P48 Fuel,vacio,sin valores (aún no publicado),,0
81,Generación programada P48 Gas Natural - Turbina de vapor,ok,,2026-08-11T10:39:01.000+02:00,192
82,Generación programada P48 Eólica terrestre,ok,,2026-08-11T10:39:01.000+02:00,192
83,Generación programada P48 Eólica marina,ok,,2026-08-11T10:39:01.000+02:00,24
84,Generación programada P48 Solar fotovoltaica,ok,,2026-08-11T10:39:01.000+02:00,191
85,Generación programada P48 Solar térmica,ok,,2026-08-11T10:39:01.000+02:00,192
86,Generación programada P48 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
87,Generación programada P48 Gas Natural Cogeneración,ok,,2026-08-11T10:39:01.000+02:00,192
88,Generación programada P48 Derivados del petróleo ó carbón,ok,,2026-08-11T10:39:01.000+02:00,192
89,Generación programada P48 Subproductos minería,vacio,sin valores (aún no publicado),,0
90,Generación programada P48 Energía residual,ok,,2026-08-11T10:39:01.000+02:00,192
91,Generación programada P48 Biomasa,ok,,2026-08-11T10:39:01.000+02:00,192
92,Generación programada P48 Biogás,ok,,2026-08-11T10:39:01.000+02:00,192
93,Generación programada P48 Residuos domésticos y similares,ok,,2026-08-11T10:39:01.000+02:00,192
94,Generación programada P48 Residuos varios,ok,,2026-08-11T10:39:01.000+02:00,192
95,Generación programada P48 Consumo bombeo,ok,,2026-08-11T10:39:01.000+02:00,106
96,Generación programada P48 Enlace Baleares,ok,,2026-08-11T10:39:01.000+02:00,192
97,Generación programada P48 Genéricas,ok,,2026-08-11T10:39:01.000+02:00,6
98,Generación programada P48 Importación Francia,ok,,2026-08-11T10:39:01.000+02:00,175
99,Generación programada P48 Importación Portugal,ok,,2026-08-11T10:39:01.000+02:00,110
100,Generación programada P48 Importación Marruecos,vacio,sin valores (aún no publicado),,0
101,Generación programada P48 Importación Andorra,vacio,sin valores (aún no publicado),,0
102,Generación programada P48 Exportación Francia,ok,,2026-08-11T10:39:01.000+02:00,139
103,Generación programada P48 Exportación Portugal,ok,,2026-08-11T10:39:01.000+02:00,188
104,Generación programada P48 Exportación Marruecos,ok,,2026-08-11T10:39:02.000+02:00,192
105,Generación programada P48 Exportación Andorra,ok,,2026-08-11T10:39:02.000+02:00,192
106,Generación programada PHF1 Hidráulica UGH,ok,,2026-08-10T20:32:11.000+02:00,192
107,Generación programada PHF1 Hidráulica no UGH,ok,,2026-08-10T20:32:11.000+02:00,192
108,Generación programada PHF1 Turbinación bombeo,ok,,2026-08-10T20:32:11.000+02:00,141
109,Generación programada PHF1 Nuclear,ok,,2026-08-10T20:32:11.000+02:00,192
110,Generación programada PHF1 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
111,Generación programada PHF1 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
112,Generación programada PHF1 Hulla antracita,vacio,sin valores (aún no publicado),,0
113,Generación programada PHF1 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
114,Generación programada PHF1 Ciclo combinado,ok,,2026-08-10T20:32:11.000+02:00,192
115,Generación programada PHF1 Fuel,vacio,sin valores (aún no publicado),,0
116,Generación programada PHF1 Gas Natural - Turbina de vapor,ok,,2026-08-10T20:32:11.000+02:00,192
117,Generación programada PHF1 Eólica terrestre,ok,,2026-08-10T20:32:11.000+02:00,192
118,Generación programada PHF1 Eólica marina,ok,,2026-08-10T20:32:11.000+02:00,24
119,Generación programada PHF1 Solar fotovoltaica,ok,,2026-08-10T20:32:11.000+02:00,192
120,Generación programada PHF1 Solar térmica,ok,,2026-08-10T20:32:11.000+02:00,192
121,Generación programada PHF1 Océano y geotérmica,vacio,sin valores (aún no publicado),,0
122,Generación programada PHF1 Gas Natural Cogeneración,ok,,2026-08-10T20:32:11.000+02:00,192
123,Generación programada PHF1 Derivados del petróleo ó carbón,ok,,2026-08-10T20:32:11.000+02:00,192
124,Generación programada PHF1 Subproductos minería,vacio,sin valores (aún no publicado),,0
125,Generación programada PHF1 Energía residual,ok,,2026-08-10T20:32:11.000+02:00,192
126,Generación programada PHF1 Biomasa,ok,,2026-08-10T20:32:11.000+02:00,192
127,Generación programada PHF1 Biogás,ok,,2026-08-10T20:32:11.000+02:00,192
128,Generación programada PHF1 Residuos domésticos y similares,ok,,2026-08-10T20:32:11.000+02:00,192
129,Generación programada PHF1 Residuos varios,ok,,2026-08-10T20:32:11.000+02:00,192
130,Generación programada PHF1 Consumo bombeo,ok,,2026-08-10T20:32:11.000+02:00,87
131,Generación programada PHF1 Enlace Baleares,ok,,2026-08-10T20:32:11.000+02:00,192
132,Generación programada PHF1 Genéricas,vacio,sin valores (aún no publicado),,0
133,Generación programada PHF1 Importación Francia,ok,,2026-08-10T20:32:11.000+02:00,137
134,Generación programada PHF1 Importación Portugal,ok,,2026-08-10T20:32:11.000+02:00,11
135,Generación programada PHF1 Importación Marruecos,vacio,sin valores (aún no publicado),,0
136,Generación programada PHF1 Importación Andorra,vacio,sin valores (aún no publicado),,0
137,Generación programada PHF1 Exportación Francia,ok,,2026-08-10T20:32:11.000+02:00,55
138,Generación programada PHF1 Exportación Portugal,ok,,2026-08-10T20:32:11.000+02:00,181
139,Generación programada PHF1 Exportación Marruecos,ok,,2026-08-10T20:32:11.000+02:00,192
140,Generación programada PHF1 Exportación Andorra,ok,,2026-08-10T20:32:11.000+02:00,192
145,Generación programada PHF2 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
146,Generación programada PHF2 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
176,Generación programada PHF3 Hidráulica UGH,ok,,2026-08-10T14:18:55.000+02:00,48
177,Generación programada PHF3 Hidráulica no UGH,ok,,2026-08-10T14:18:55.000+02:00,48
178,Generación programada PHF3 Turbinación bombeo,ok,,2026-08-10T14:18:55.000+02:00,27
179,Generación programada PHF3 Nuclear,ok,,2026-08-10T14:18:55.000+02:00,48
180,Generación programada PHF3 Hulla antracita Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
181,Generación programada PHF3 Hulla sub-bituminosa Anexo II RD 134/2010,vacio,sin valores (aún no publicado),,0
182,Generación programada PHF3 Hulla antracita,vacio,sin valores (aún no publicado),,0
183,Generación programada PHF3 Hulla sub-bituminosa,vacio,sin valores (aún no publicado),,0
