ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-08,2026-09-08T14:55:12,35,23,45,15,34,23,7.0,0,,,,,0
madrid,28079,2026-09-09,2026-09-08T14:55:12,26,14,85,30,26,15,6.0,20,NE,,23,Intervalos nubosos con lluvia,100
madrid,28079,2026-09-10,2026-09-08T14:55:12,27,11,70,15,27,12,7.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-11,2026-09-08T14:55:12,30,15,50,10,30,15,7.0,0,C,,11,Despejado,0
madrid,28079,2026-09-12,2026-09-08T14:55:12,32,17,70,20,32,17,6.0,0,C,,11,Despejado,0
madrid,28079,2026-09-13,2026-09-08T14:55:12,33,18,55,20,33,18,,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-14,2026-09-08T14:55:12,34,19,55,15,34,19,,0,C,,11,Despejado,0
barcelona,08019,2026-09-08,2026-09-08T15:31:11,33,23,95,40,33,24,6.0,0,,,,,0
barcelona,08019,2026-09-09,2026-09-08T15:31:11,29,20,90,60,30,21,6.0,0,C,,26,Cubierto con lluvia,100
barcelona,08019,2026-09-10,2026-09-08T15:31:11,27,19,80,45,27,19,5.0,15,S,,13,Intervalos nubosos,20
barcelona,08019,2026-09-11,2026-09-08T15:31:11,29,19,85,35,29,19,6.0,10,SE,,11,Despejado,5
barcelona,08019,2026-09-12,2026-09-08T15:31:11,29,20,90,60,29,20,6.0,10,SE,,43,Intervalos nubosos con lluvia escasa,55
barcelona,08019,2026-09-13,2026-09-08T15:31:11,30,22,90,55,30,22,,10,SE,,13,Intervalos nubosos,10
barcelona,08019,2026-09-14,2026-09-08T15:31:11,31,21,85,55,31,21,,15,S,,13,Intervalos nubosos,10
valencia,46250,2026-09-08,2026-09-08T15:31:11,35,21,70,30,36,21,6.0,0,,,,,0
valencia,46250,2026-09-09,2026-09-08T15:31:11,31,18,100,40,31,18,6.0,20,NE,45,25,Muy nuboso con lluvia,100
valencia,46250,2026-09-10,2026-09-08T15:31:11,27,16,100,45,27,16,6.0,10,SE,,13,Intervalos nubosos,25
valencia,46250,2026-09-11,2026-09-08T15:31:11,28,17,90,50,28,17,6.0,10,SE,,11,Despejado,5
valencia,46250,2026-09-12,2026-09-08T15:31:11,28,20,90,60,28,20,6.0,10,E,,12,Poco nuboso,5
valencia,46250,2026-09-13,2026-09-08T15:31:11,29,19,80,50,29,19,,10,SE,,12,Poco nuboso,5
valencia,46250,2026-09-14,2026-09-08T15:31:11,30,20,80,55,30,20,,10,SE,,12,Poco nuboso,5
sevilla,41091,2026-09-08,2026-09-08T15:31:11,39,22,75,15,40,22,7.0,0,,,,,0
sevilla,41091,2026-09-09,2026-09-08T15:31:11,35,21,65,25,35,21,6.0,10,O,,13,Intervalos nubosos,15
sevilla,41091,2026-09-10,2026-09-08T15:31:11,34,19,90,30,34,19,7.0,0,C,,12,Poco nuboso,0
sevilla,41091,2026-09-11,2026-09-08T15:31:11,35,19,95,25,35,19,7.0,0,C,,11,Despejado,0
sevilla,41091,2026-09-12,2026-09-08T15:31:11,37,20,80,20,37,20,7.0,15,E,,11,Despejado,0
sevilla,41091,2026-09-13,2026-09-08T15:31:11,38,21,80,20,38,21,,10,E,,11,Despejado,0
sevilla,41091,2026-09-14,2026-09-08T15:31:11,39,21,65,20,39,21,,0,C,,11,Despejado,0
bilbao,48020,2026-09-08,2026-09-08T15:31:11,28,17,95,60,28,17,6.0,0,,,,,0
bilbao,48020,2026-09-09,2026-09-08T15:31:11,22,14,95,55,22,14,5.0,15,N,,25,Muy nuboso con lluvia,100
bilbao,48020,2026-09-10,2026-09-08T15:31:11,24,12,100,50,24,12,6.0,0,C,,13,Intervalos nubosos,10
bilbao,48020,2026-09-11,2026-09-08T15:31:11,25,12,90,55,25,12,6.0,5,NO,,15,Muy nuboso,45
bilbao,48020,2026-09-12,2026-09-08T15:31:11,27,12,100,55,27,12,6.0,10,NE,,43,Intervalos nubosos con lluvia escasa,60
bilbao,48020,2026-09-13,2026-09-08T15:31:11,28,14,100,60,28,14,,5,N,,14,Nuboso,0
bilbao,48020,2026-09-14,2026-09-08T15:31:11,31,13,100,50,31,13,,0,C,,12,Poco nuboso,5
zaragoza,50297,2026-09-08,2026-09-08T15:31:11,39,21,75,25,39,21,6.0,0,,,,,0
zaragoza,50297,2026-09-09,2026-09-08T15:31:11,27,16,80,30,27,16,5.0,30,NO,60,43,Intervalos nubosos con lluvia escasa,85
zaragoza,50297,2026-09-10,2026-09-08T15:31:11,29,14,75,20,29,14,6.0,15,O,,11,Despejado,0
zaragoza,50297,2026-09-11,2026-09-08T15:31:11,31,15,70,15,31,15,6.0,15,NO,,11,Despejado,0
zaragoza,50297,2026-09-12,2026-09-08T15:31:11,32,16,80,30,32,16,6.0,0,C,,11,Despejado,0
zaragoza,50297,2026-09-13,2026-09-08T15:31:11,34,18,95,25,34,18,,0,C,,12,Poco nuboso,0
zaragoza,50297,2026-09-14,2026-09-08T15:31:11,36,18,95,25,36,18,,0,C,,11,Despejado,0
a_coruna,15030,2026-09-08,2026-09-08T15:45:12,22,18,85,75,22,18,6.0,0,,,,,0
a_coruna,15030,2026-09-09,2026-09-08T15:45:12,23,17,75,50,23,17,6.0,15,NE,,13,Intervalos nubosos,10
a_coruna,15030,2026-09-10,2026-09-08T15:45:12,22,14,85,55,22,14,6.0,10,NO,,13,Intervalos nubosos,10
a_coruna,15030,2026-09-11,2026-09-08T15:45:12,24,17,90,65,24,17,6.0,5,N,,45,Muy nuboso con lluvia escasa,55
a_coruna,15030,2026-09-12,2026-09-08T15:45:12,26,18,95,60,26,18,6.0,15,N,,12,Poco nuboso,0
a_coruna,15030,2026-09-13,2026-09-08T15:45:12,26,16,100,65,26,16,,10,N,,12,Poco nuboso,0
a_coruna,15030,2026-09-14,2026-09-08T15:45:12,25,16,100,55,25,16,,10,NO,,12,Poco nuboso,5
mataro,08121,2026-09-08,2026-09-08T15:31:11,32,22,75,70,32,24,6.0,0,,,,,0
