id,nombre,estado,detalle,values_updated_at,filas
12,(cadena de programación),ok,,2026-08-25T14:22:21.000+02:00,288
14,(cadena de programación),ok,,2026-08-25T14:22:21.000+02:00,276
15,(cadena de programación),ok,,2026-08-25T14:22:21.000+02:00,288
47,(cadena de programación),ok,,2026-08-25T15:43:36.000+02:00,288
49,(cadena de programación),ok,,2026-08-25T15:43:36.000+02:00,276
50,(cadena de programación),ok,,2026-08-25T15:43:36.000+02:00,287
82,(cadena de programación),ok,,2026-08-25T21:09:13.000+02:00,192
84,(cadena de programación),ok,,2026-08-25T21:09:13.000+02:00,176
85,(cadena de programación),ok,,2026-08-25T21:09:13.000+02:00,183
117,(cadena de programación),ok,,2026-08-25T17:35:23.000+02:00,288
119,(cadena de programación),ok,,2026-08-25T17:35:23.000+02:00,274
120,(cadena de programación),ok,,2026-08-25T17:35:23.000+02:00,282
187,(cadena de programación),ok,,2026-08-25T14:26:42.000+02:00,96
189,(cadena de programación),ok,,2026-08-25T14:26:42.000+02:00,96
190,(cadena de programación),ok,,2026-08-25T14:26:42.000+02:00,96
257,(cadena de programación),vacio,sin valores (aún no publicado),,0
259,(cadena de programación),vacio,sin valores (aún no publicado),,0
260,(cadena de programación),vacio,sin valores (aún no publicado),,0
292,(cadena de programación),vacio,sin valores (aún no publicado),,0
294,(cadena de programación),vacio,sin valores (aún no publicado),,0
295,(cadena de programación),vacio,sin valores (aún no publicado),,0
327,(cadena de programación),vacio,sin valores (aún no publicado),,0
329,(cadena de programación),vacio,sin valores (aún no publicado),,0
330,(cadena de programación),vacio,sin valores (aún no publicado),,0
434,(cadena de programación),ok,,2026-08-25T14:22:18.000+02:00,190
460,Previsión diaria de la demanda eléctrica peninsular,ok,,2026-08-25T20:21:41.000+02:00,864
461,Previsión mensual de la demanda eléctrica peninsular,ok,,2026-08-12T12:25:30.000+02:00,1
480,Potencia disponible de generación Hidráulica UGH horizonte año móvil,ok,,2026-08-01T03:57:43.000+02:00,293
481,Potencia disponible de generación Turbinación bombeo horizonte año móvil,ok,,2026-08-01T03:57:43.000+02:00,84
482,Potencia disponible de generación Nuclear horizonte año móvil,ok,,2026-08-01T03:57:43.000+02:00,48
483,Potencia disponible de generación Hulla antracita horizonte año móvil,ok,,2026-08-01T03:57:43.000+02:00,12
484,Potencia disponible de generación Hulla sub-bituminosa horizonte año móvil,ok,,2026-08-01T03:57:44.000+02:00,12
485,Potencia disponible de generación Ciclo combinado horizonte año móvil,ok,,2026-08-01T03:57:44.000+02:00,184
