ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-09-22,2026-09-23T05:57:09,32,18,30,15,32,18,,0,,,,,0
madrid,28079,2026-09-23,2026-09-23T05:57:09,33,18,50,15,33,18,6.0,5,SE,,17,Nubes altas,0
madrid,28079,2026-09-24,2026-09-23T05:57:09,34,19,60,20,33,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-25,2026-09-23T05:57:09,34,19,40,15,34,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-26,2026-09-23T05:57:09,33,19,35,15,33,19,6.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-09-27,2026-09-23T05:57:09,31,19,60,20,31,19,6.0,0,C,,12,Poco nuboso,5
madrid,28079,2026-09-28,2026-09-23T05:57:09,26,20,65,35,26,20,,10,SE,,16,Cubierto,35
barcelona,08019,2026-09-22,2026-09-23T05:57:09,29,21,80,60,29,21,,0,,,,,0
barcelona,08019,2026-09-23,2026-09-23T05:57:09,29,20,80,25,29,20,5.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-24,2026-09-23T05:57:09,30,18,85,35,30,18,5.0,15,S,,12,Poco nuboso,0
barcelona,08019,2026-09-25,2026-09-23T05:57:09,30,20,85,45,30,20,5.0,10,SE,,12,Poco nuboso,0
barcelona,08019,2026-09-26,2026-09-23T05:57:09,29,21,85,55,29,21,5.0,15,SE,,12,Poco nuboso,5
barcelona,08019,2026-09-27,2026-09-23T05:57:09,29,20,80,55,29,20,5.0,10,S,,14,Nuboso,35
barcelona,08019,2026-09-28,2026-09-23T05:57:09,29,22,85,55,29,22,,15,SE,,43,Intervalos nubosos con lluvia escasa,85
valencia,46250,2026-09-22,2026-09-23T05:57:09,31,18,65,60,31,18,,0,,,,,0
valencia,46250,2026-09-23,2026-09-23T05:57:09,28,19,100,55,29,19,5.0,15,E,,12,Poco nuboso,0
valencia,46250,2026-09-24,2026-09-23T05:57:09,29,19,100,50,29,18,5.0,10,SE,,12,Poco nuboso,0
valencia,46250,2026-09-25,2026-09-23T05:57:09,32,19,100,45,32,19,5.0,10,E,,11,Despejado,0
valencia,46250,2026-09-26,2026-09-23T05:57:09,29,20,100,60,29,20,6.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-09-27,2026-09-23T05:57:09,28,20,100,60,28,20,5.0,10,SE,,17,Nubes altas,0
valencia,46250,2026-09-28,2026-09-23T05:57:09,27,20,95,60,27,20,,15,E,,43,Intervalos nubosos con lluvia escasa,60
sevilla,41091,2026-09-22,2026-09-23T05:57:09,36,19,60,20,36,19,,0,,,,,0
sevilla,41091,2026-09-23,2026-09-23T05:57:09,38,20,80,15,37,20,6.0,5,E,,12,Poco nuboso,0
sevilla,41091,2026-09-24,2026-09-23T05:57:09,37,20,65,15,37,21,6.0,5,N,,12,Poco nuboso,0
sevilla,41091,2026-09-25,2026-09-23T05:57:09,38,19,85,15,38,19,6.0,0,C,,12,Poco nuboso,0
sevilla,41091,2026-09-26,2026-09-23T05:57:09,39,21,40,15,39,21,6.0,0,C,,12,Poco nuboso,0
sevilla,41091,2026-09-27,2026-09-23T05:57:09,34,21,65,20,34,21,6.0,0,C,,17,Nubes altas,0
sevilla,41091,2026-09-28,2026-09-23T05:57:09,32,20,85,45,32,20,,10,S,,13,Intervalos nubosos,25
bilbao,48020,2026-09-22,2026-09-23T05:57:09,27,13,85,60,27,13,,0,,,,,0
bilbao,48020,2026-09-23,2026-09-23T05:57:09,28,12,95,40,28,12,5.0,10,NO,,17,Nubes altas,0
bilbao,48020,2026-09-24,2026-09-23T05:57:09,35,12,90,25,35,12,5.0,10,SO,,12,Poco nuboso,0
bilbao,48020,2026-09-25,2026-09-23T05:57:09,25,15,90,60,25,15,5.0,10,NO,,13,Intervalos nubosos,15
bilbao,48020,2026-09-26,2026-09-23T05:57:09,26,15,95,55,26,15,5.0,5,N,,13,Intervalos nubosos,15
bilbao,48020,2026-09-27,2026-09-23T05:57:09,32,14,100,55,32,14,5.0,0,C,,44,Nuboso con lluvia escasa,60
