ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-27,2026-08-27T12:19:11,24,15,85,50,23,15,7.0,0,,,,,0
madrid,28079,2026-08-28,2026-08-27T12:19:11,25,13,90,25,25,13,6.0,5,SO,,11,Despejado,0
madrid,28079,2026-08-29,2026-08-27T12:19:11,30,16,65,20,30,15,7.0,0,C,,11,Despejado,0
madrid,28079,2026-08-30,2026-08-27T12:19:11,32,16,60,15,32,16,8.0,10,SO,,11,Despejado,0
madrid,28079,2026-08-31,2026-08-27T12:19:11,33,19,60,20,33,19,7.0,5,SO,,11,Despejado,0
madrid,28079,2026-09-01,2026-08-27T12:19:11,33,20,55,15,33,20,,10,SO,,12,Poco nuboso,5
madrid,28079,2026-09-02,2026-08-27T12:19:11,31,18,55,20,31,18,,0,C,,11,Despejado,0
barcelona,08019,2026-08-27,2026-08-27T12:19:11,32,24,80,50,33,27,7.0,0,,,,,0
barcelona,08019,2026-08-28,2026-08-27T12:19:11,33,26,65,15,33,26,7.0,10,O,,13,Intervalos nubosos,35
barcelona,08019,2026-08-29,2026-08-27T12:19:11,31,23,65,30,31,23,7.0,10,SE,,11,Despejado,0
barcelona,08019,2026-08-30,2026-08-27T12:19:11,31,23,80,45,31,23,7.0,15,S,,11,Despejado,0
barcelona,08019,2026-08-31,2026-08-27T12:19:11,31,23,80,55,31,23,7.0,10,SE,,13,Intervalos nubosos,15
barcelona,08019,2026-09-01,2026-08-27T12:19:11,31,24,85,50,31,24,,10,SE,,13,Intervalos nubosos,20
barcelona,08019,2026-09-02,2026-08-27T12:19:11,32,24,80,50,32,24,,15,S,,13,Intervalos nubosos,40
valencia,46250,2026-08-27,2026-08-27T12:19:11,35,22,60,25,35,23,7.0,0,,,,,0
valencia,46250,2026-08-28,2026-08-27T12:19:11,33,23,60,20,33,23,7.0,10,O,,17,Nubes altas,5
valencia,46250,2026-08-29,2026-08-27T12:19:11,30,21,75,35,30,21,7.0,10,E,,12,Poco nuboso,0
valencia,46250,2026-08-30,2026-08-27T12:19:11,30,20,85,55,30,20,7.0,15,E,,11,Despejado,0
valencia,46250,2026-08-31,2026-08-27T12:19:11,30,21,85,60,30,21,7.0,15,E,,12,Poco nuboso,5
valencia,46250,2026-09-01,2026-08-27T12:19:11,30,23,85,60,30,23,,10,E,,13,Intervalos nubosos,40
valencia,46250,2026-09-02,2026-08-27T12:19:11,31,24,80,60,31,24,,15,E,,13,Intervalos nubosos,40
sevilla,41091,2026-08-27,2026-08-27T12:19:11,29,18,90,40,29,18,7.0,0,,,,,0
sevilla,41091,2026-08-28,2026-08-27T12:19:11,31,15,80,15,31,15,6.0,10,NE,,11,Despejado,0
sevilla,41091,2026-08-29,2026-08-27T12:19:11,35,18,80,15,35,18,7.0,0,C,,12,Poco nuboso,0
sevilla,41091,2026-08-30,2026-08-27T12:19:11,36,19,75,15,36,19,8.0,0,C,,11,Despejado,0
sevilla,41091,2026-08-31,2026-08-27T12:19:11,37,20,70,25,37,20,7.0,0,C,,11,Despejado,0
sevilla,41091,2026-09-01,2026-08-27T12:19:11,36,20,60,15,36,20,,10,SO,,12,Poco nuboso,0
sevilla,41091,2026-09-02,2026-08-27T12:19:11,36,19,70,15,36,19,,0,C,,11,Despejado,0
bilbao,48020,2026-08-27,2026-08-27T12:19:11,30,18,70,35,30,18,6.0,0,,,,,0
bilbao,48020,2026-08-28,2026-08-27T12:19:11,29,15,75,35,29,15,6.0,10,O,,12,Poco nuboso,5
bilbao,48020,2026-08-29,2026-08-27T12:19:11,29,14,80,55,29,14,7.0,10,N,,11,Despejado,0
bilbao,48020,2026-08-30,2026-08-27T12:19:11,28,16,90,55,28,16,7.0,15,N,,43,Intervalos nubosos con lluvia escasa,70
