captura,fuente,motivo
2026-08-13-1407,sendeco2_eua,ausente
2026-08-13-1451,aemet_prediccion_diaria,ausente
2026-08-13-1451,aemet_prediccion_horaria,ausente
2026-08-13-1451,aemet_prediccion_periodos,ausente
2026-08-13-1451,esios_capacidad_instalada,ausente
2026-08-13-1451,mibgas_curva,ausente
2026-08-13-1451,sendeco2_eua,ausente
2026-08-13-1745,aemet_prediccion_horaria,ausente
2026-08-13-1745,aemet_prediccion_periodos,ausente
2026-08-13-1745,esios_capacidad_instalada,ausente
2026-08-13-1745,mibgas_curva,ausente
2026-08-13-1745,sendeco2_eua,ausente
2026-08-13-1750,aemet_prediccion_diaria,ausente
2026-08-13-1750,aemet_prediccion_horaria,ausente
2026-08-13-1750,aemet_prediccion_periodos,ausente
2026-08-13-1750,esios_capacidad_instalada,ausente
2026-08-13-1750,mibgas_curva,ausente
2026-08-13-1750,sendeco2_eua,ausente
2026-08-13-2007,aemet_prediccion_diaria,ausente
2026-08-13-2007,aemet_prediccion_horaria,ausente
2026-08-13-2007,aemet_prediccion_periodos,ausente
2026-08-13-2007,esios_capacidad_instalada,ausente
2026-08-13-2007,mibgas_curva,ausente
2026-08-13-2007,sendeco2_eua,ausente
2026-08-13-2013,aemet_prediccion_diaria,ausente
2026-08-13-2013,aemet_prediccion_horaria,ausente
2026-08-13-2013,aemet_prediccion_periodos,ausente
2026-08-13-2013,esios_capacidad_instalada,ausente
2026-08-13-2013,mibgas_curva,ausente
2026-08-13-2013,sendeco2_eua,ausente
2026-08-13-2050,esios_capacidad_instalada,ausente
2026-08-13-2050,mibgas_curva,ausente
2026-08-13-2050,sendeco2_eua,ausente
2026-08-13-2158,aemet_prediccion_diaria,ausente
2026-08-13-2158,aemet_prediccion_horaria,ausente
2026-08-13-2158,aemet_prediccion_periodos,ausente
2026-08-13-2158,esios_capacidad_instalada,ausente
2026-08-13-2158,mibgas_curva,ausente
2026-08-13-2158,sendeco2_eua,ausente
2026-08-13-2350,esios_capacidad_instalada,ausente
2026-08-13-2350,mibgas_curva,ausente
2026-08-13-2350,sendeco2_eua,ausente
2026-08-14-0112,aemet_prediccion_diaria,ausente
2026-08-14-0112,aemet_prediccion_horaria,ausente
2026-08-14-0112,aemet_prediccion_periodos,ausente
2026-08-14-0112,esios_capacidad_instalada,ausente
2026-08-14-0112,mibgas_curva,ausente
2026-08-14-0112,sendeco2_eua,ausente
2026-08-14-0250,esios_capacidad_instalada,ausente
2026-08-14-0250,mibgas_curva,ausente
2026-08-14-0250,sendeco2_eua,ausente
2026-08-14-0550,esios_capacidad_instalada,ausente
2026-08-14-0550,mibgas_curva,ausente
2026-08-14-0550,sendeco2_eua,ausente
2026-08-14-0721,aemet_prediccion_diaria,ausente
2026-08-14-0721,aemet_prediccion_horaria,ausente
2026-08-14-0721,aemet_prediccion_periodos,ausente
2026-08-14-0721,esios_capacidad_instalada,ausente
2026-08-14-0721,mibgas_curva,ausente
2026-08-14-0721,sendeco2_eua,ausente
2026-08-14-0850,esios_capacidad_instalada,ausente
2026-08-14-0850,mibgas_curva,ausente
2026-08-14-0850,sendeco2_eua,ausente
2026-08-14-1138,esios_capacidad_instalada,ausente
2026-08-14-1138,mibgas_curva,ausente
2026-08-14-1138,sendeco2_eua,ausente
2026-08-14-1150,aemet_prediccion_diaria,ausente
2026-08-14-1150,aemet_prediccion_horaria,ausente
2026-08-14-1150,aemet_prediccion_periodos,ausente
2026-08-14-1150,esios_capacidad_instalada,ausente
2026-08-14-1150,mibgas_curva,ausente
2026-08-14-1150,sendeco2_eua,ausente
2026-08-14-1401,aemet_prediccion_diaria,ausente
2026-08-14-1401,aemet_prediccion_horaria,ausente
2026-08-14-1401,aemet_prediccion_periodos,ausente
2026-08-14-1401,esios_capacidad_instalada,ausente
2026-08-14-1401,mibgas_curva,ausente
2026-08-14-1401,sendeco2_eua,ausente
2026-08-14-1450,aemet_prediccion_diaria,ausente
2026-08-14-1450,aemet_prediccion_horaria,ausente
2026-08-14-1450,aemet_prediccion_periodos,ausente
2026-08-14-1450,esios_capacidad_instalada,ausente
2026-08-14-1450,mibgas_curva,ausente
2026-08-14-1450,sendeco2_eua,ausente
2026-08-14-1737,esios_capacidad_instalada,ausente
2026-08-14-1737,mibgas_curva,ausente
2026-08-14-1737,sendeco2_eua,ausente
2026-08-14-1750,aemet_prediccion_diaria,ausente
2026-08-14-1750,aemet_prediccion_horaria,ausente
2026-08-14-1750,aemet_prediccion_periodos,ausente
2026-08-14-1750,esios_capacidad_instalada,ausente
2026-08-14-1750,mibgas_curva,ausente
2026-08-14-1750,sendeco2_eua,ausente
