captura_madrid,indicador,nombre,estado,values_updated_at,fecha_min,fecha_max,dias_cubiertos,n_periodos,suma_valores,hash_valores
2026-08-13T20:50:47+02:00,329,Generación programada PHF7 Solar fotovoltaica,vacio,,,,0,0,,
2026-08-13T20:50:47+02:00,330,Generación programada PHF7 Solar térmica,vacio,,,,0,0,,
2026-08-13T20:50:47+02:00,434,Programa bilateral PBF Solar fotovoltaica,ok,2026-08-13T14:31:15.000+02:00,2026-08-12T05:30:00.000+02:00,2026-08-14T21:45:00.000+02:00,3,198,192040.4,2d01d6a6424588e5
2026-08-13T20:50:47+02:00,1411,Generación programada PHFC Eólica terrestre,ok,2026-08-13T20:40:26.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T21:45:00.000+02:00,2,184,139758.6,37346d63fc602bca
2026-08-13T20:50:47+02:00,1413,Generación programada PHFC Solar fotovoltaica,ok,2026-08-13T20:40:26.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T21:45:00.000+02:00,2,181,550549.1,c9b3aa1cadee4e87
2026-08-13T20:50:47+02:00,1414,Generación programada PHFC Solar térmica,ok,2026-08-13T20:40:26.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T21:45:00.000+02:00,2,184,43551.0,f85d845c6fa38f6b
2026-08-13T21:58:25+02:00,12,Generación programada PBF Eólica terrestre,ok,2026-08-13T14:31:16.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,320215.3,97cd8a688b655267
2026-08-13T21:58:25+02:00,14,Generación programada PBF Solar fotovoltaica,ok,2026-08-13T14:31:16.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,278,889597.1,ddc22f80e1332ef9
2026-08-13T21:58:25+02:00,15,Generación programada PBF Solar térmica,ok,2026-08-13T14:31:16.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,76023.6,954ad9772b02deb7
2026-08-13T21:58:25+02:00,47,Generación programada PVP Eólica terrestre,ok,2026-08-13T16:33:21.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,261550.2,ac4e640f978c6251
2026-08-13T21:58:25+02:00,49,Generación programada PVP Solar fotovoltaica,ok,2026-08-13T16:33:21.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,278,799210.4,f193eff7a3af4e41
2026-08-13T21:58:25+02:00,50,Generación programada PVP Solar térmica,ok,2026-08-13T16:33:21.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,64648.5,09e16bbbf6f4bb09
2026-08-13T21:58:25+02:00,82,Generación programada P48 Eólica terrestre,ok,2026-08-13T21:42:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,192,149170.3,cf62fbed9e6dcbb9
2026-08-13T21:58:25+02:00,84,Generación programada P48 Solar fotovoltaica,ok,2026-08-13T21:42:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,189,546260.6,86587743b6334075
2026-08-13T21:58:25+02:00,85,Generación programada P48 Solar térmica,ok,2026-08-13T21:42:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-13T23:45:00.000+02:00,2,192,44270.8,00eac76b971458cc
2026-08-13T21:58:25+02:00,117,Generación programada PHF1 Eólica terrestre,ok,2026-08-13T17:59:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,260442.3,33115de2752322cf
2026-08-13T21:58:25+02:00,119,Generación programada PHF1 Solar fotovoltaica,ok,2026-08-13T17:59:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,278,802677.1,7a8dffd7ec7e0b62
2026-08-13T21:58:25+02:00,120,Generación programada PHF1 Solar térmica,ok,2026-08-13T17:59:01.000+02:00,2026-08-12T00:00:00.000+02:00,2026-08-14T23:45:00.000+02:00,3,288,65151.9,2edda775cae450bd
